Root,No of derevatives found,derevatives found,Root Length,Has Vowel,Full Text
تسع,7, تِسْعًا تِسْعٌ تِسْعَ تِسْعَةَ تِسْعَةُ تِسْعِ وَتِسْعُونَ,3,no vowel,[تِسْعًا] (1) تِسْعٌ (1) تِسْعَ (1) [تِسْعَ]ةَ (1) [تِسْعَ]ةُ (1) تِسْعِ (1) وَتِسْعُونَ (1)
تعس,1, فَتَعْسًا,3,no vowel,[فَتَعْسًا] (1)
تفث,1, تَفَثَهُم,3,no vowel,[تَفَثَهُم] (1)
تقن,0,,3,no vowel,أَتْقَنَ (1)
تلك,3, تِلْكَ فَتِلْكَ وَتِلْكَ,3,no vowel,تِلْكَ (28) تِلْكُمَا (1) تِلْكُمُ (1) فَتِلْكَ (2) وَتِلْكَ (11)
تلل,1, وَتَلَّهُ,3,no vowel,وَتَلَّهُ (1)
تلو,20, اتْلُ تَتْلُوا تَتْلُونَ تَلاَهَا تَلَوْتُهُ تُتْلَى تُلِيَت تِلاَوَتِهِ فَاتْلُوهَا فَالتَّالِيَاتِ لِتَتْلُوَا نَتْلُوا نَتْلُوهَا نَتْلُوهُ وَاتْلُ وَيَتْلُوهُ يَتْلُوا يَتْلُونَ يَتْلُونَهُ يُتْلَى,3,vowel,(5/3) أَتْلُ (1) أَتْلُوَا (1) اتْلُ (1) [تَتْلُوا] (4) تَتْلُونَ (1) [تَلاَهَا] (1) تَلَوْتُهُ (1) [تُتْلَى] (16) [تُلِيَت] (1) تِلاَوَتِهِ (1) سَأَتْلُوا (1) فَ[اتْلُ]وهَا (1) فَالتَّالِيَاتِ (1) [لِتَتْلُوَا] (1) [نَتْلُوا] (1) [نَتْلُوهَا] (3) نَتْلُوهُ (1) وَاتْلُ (5) وَيَتْلُوهُ (1) [يَتْلُوا] (7) يَتْلُونَ (5) [يَتْلُونَ]هُ (1) [يُتْلَى] (7)
تمم,9, تَمَامًا فَتَمَّ مُتِمُّ وَتَمَّت وَلِيُتِمَّ وَيُتِمَّ وَيُتِمُّ يُتِمَّ يُتِمُّ,3,no vowel,أَتَمَّهَا (1) أَتِمُّوا (1) أَتْمَمْتَ (1) أَتْمِم (1) [تَمَامًا] (1) فَأَتَمَّهُنَّ (1) فَأَتِمُّوا (1) فَتَمَّ (1) مُتِمُّ (1) وَأَتِمُّوا (1) وَأَتْمَمْتُ (1) وَأَتْمَمْنَاهَا (1) [وَتَمَّت] (3) وَلأُتِمَّ (1) وَلِيُتِمَّ (1) وَيُتِمَّ (1) وَيُتِمُّ (1) يُتِمَّ (2) يُتِمُّ (1)
توب,31, التَّوَّابُ التَّوَّابِينَ التَّوْبَةَ التَّوْبَةُ التَّوْبِ تَابَ تَابَا تَابُوا تَتُوبَا تَوَّابًا تَوَّابٌ تَوْبَةً تَوْبَتُهُم تُبْتُ تُبْتُم تُوبُوا فَتَابَ فَتُوبُوا لِيَتُوبُوا مَتَابًا مَتَابِ وَتَابَ وَتُب وَتُوبُوا وَيَتُوبَ وَيَتُوبُ يَتُب يَتُوبَ يَتُوبُ يَتُوبُوا يَتُوبُونَ,3,vowel,أَتُوبُ (1) التَّائِبُونَ (1) التَّوَّابُ (6) التَّوَّابِينَ (1) التَّوْبَةَ (2) التَّوْبَةُ (2) التَّوْبِ (1) تَائِبَاتٍ (1) تَابَ (12) [تَابَ]ا (1) [تَابُوا] (10) [تَتُوبَا] (1) [تَوَّابًا] (3) تَوَّابٌ (2) تَوْبَةً (2) [تَوْبَتُهُم] (1) تُبْتُ (3) [تُبْتُ]م (2) [تُوبُوا] (5) فَتَابَ (5) فَ[تُوبُوا] (1) لِيَ[تُوبُوا] (1) [مَتَابًا] (1) مَتَابِ (1) وَتَابَ (1) [وَتُب] (1) وَ[تُوبُوا] (1) وَيَتُوبَ (2) وَيَتُوبُ (1) [يَتُب] (1) يَتُوبَ (4) يَتُوبُ (5) يَ[تُوبُوا] (2) [يَتُوبُ]ونَ (3)
تور,6, التَّوْرَاةَ التَّوْرَاةُ التَّوْرَاةِ بِالتَّوْرَاةِ تَارَةً وَالتَّوْرَاةَ,3,vowel,التَّوْرَاةَ (5) التَّوْرَاةُ (3) التَّوْرَاةِ (7) بِالتَّوْرَاةِ (1) تَارَةً (2) وَالتَّوْرَاةَ (2)
تين,1, وَالتِّينِ,3,vowel,وَالتِّينِ (1)
تيه,1, يَتِيهُونَ,3,vowel,يَتِيهُونَ (1) (5/4) (5/5) معجم كلمات القرآن الكريم حسب الجذور ث ---
ثبت,18, الثَّابِتِ تَثْبِيتًا ثَابِتٌ ثَبَّتْنَاكَ ثُبَاتٍ ثُبُوتِهَا فَاثْبُتُوا فَثَبِّتُوا لِنُثَبِّتَ لِيُثَبِّتَ لِيُثْبِتُوكَ نُثَبِّتُ وَتَثْبِيتًا وَثَبِّت وَيُثَبِّت وَيُثَبِّتَ وَيُثْبِتُ يُثَبِّتُ,3,no vowel,الثَّابِتِ (1) [تَثْبِيتًا] (1) ثَابِتٌ (1) ثَبَّتْنَاكَ (1) ثُبَاتٍ (1) [ثُبُوتِهَا] (1) [فَاثْبُتُوا] (1) [فَثَبِّتُوا] (1) لِنُثَبِّتَ (1) لِيُثَبِّتَ (1) لِيُثْبِتُوكَ (1) نُثَبِّتُ (1) وَ[تَثْبِيتًا] (1) [وَثَبِّت] (2) [وَيُثَبِّت] (1) [وَيُثَبِّت]َ (1) وَيُثْبِتُ (1) يُثَبِّتُ (1)
ثبر,2, ثُبُورًا مَثْبُورًا,3,no vowel,[ثُبُورًا] (4) [مَثْبُورًا] (1)
ثبط,1, فَثَبَّطَهُم,3,no vowel,[فَثَبَّطَهُم] (1)
ثجج,1, ثَجَّاجًا,3,no vowel,[ثَجَّاجًا] (1)
ثخن,1, يُثْخِنَ,3,no vowel,أَثْخَنتُمُوهُم (1) يُثْخِنَ (1)
ثرب,1, تَثْرِيبَ,3,no vowel,تَثْرِيبَ (1)
ثري,1, الثَّرَى,3,vowel,[الثَّرَى] (1)
ثعب,1, ثُعْبَانٌ,3,no vowel,ثُعْبَانٌ (2)
ثقب,2, الثَّاقِبُ ثَاقِبٌ,3,no vowel,الثَّاقِبُ (1) ثَاقِبٌ (1)
ثقف,4, تَثْقَفَنَّهُم ثَقِفْتُمُوهُم ثُقِفُوا يَثْقَفُوكُم,3,no vowel,[تَثْقَفَنَّهُم] (1) [ثَقِفْتُمُوهُم] (2) [ثُقِفُوا] (2) [يَثْقَفُوكُم] (1)
ثقل,12, اثَّاقَلْتُم الثَّقَلاَنِ الثِّقَالَ ثَقُلَت ثَقِيلاً ثِقَالاً مُثْقَلَةٌ مُثْقَلُونَ مِثْقَالَ مِثْقَالُ مِثْقَالِ وَثِقَالاً,3,no vowel,أَثْقَالَكُم (1) أَثْقَالَهَا (1) أَثْقَالَهُم (1) أَثْقَالِهِم (1) أَثْقَلَت (1) [اثَّاقَلْتُم] (1) الثَّقَلاَنِ (1) الثِّقَالَ (1) [ثَقُلَت] (4) ثَقِيلاً (2) ثِقَالاً (1) مُثْقَلَةٌ (1) مُثْقَلُونَ (2) مِثْقَالَ (6) مِثْقَالُ (1) مِثْقَالِ (1) وَأَثْقَالاً (1) وَثِقَالاً (1) (6/1)
ثلث,24, الثَّالِثَةَ الثَّلاَثَةِ الثُّلُثَانِ الثُّلُثُ الثُّلُثِ بِثَالِثٍ بِثَلاَثَةِ ثَالِثُ ثَلاَثٍ ثَلاَثَ ثَلاَثَةً ثَلاَثَةٌ ثَلاَثَةٍ ثَلاَثَةَ ثَلاَثَةُ ثَلاَثَةِ ثَلاَثُ ثَلاَثُونَ ثَلاَثِ ثَلاَثِينَ ثُلُثَا ثُلُثَيِ وَثُلاَثَ وَثُلُثَهُ,3,no vowel,الثَّالِثَةَ (1) الثَّلاَثَةِ (1) الثُّلُثَانِ (1) الثُّلُثُ (1) الثُّلُثِ (1) بِثَالِثٍ (1) بِ[ثَلاَثَ]ةِ (1) ثَالِثُ (1) ثَلاَثٍ (1) ثَلاَثَ (3) [ثَلاَثَ]ةً (1) [ثَلاَثَ]ةٌ (2) [ثَلاَثَ]ةٍ (2) [ثَلاَثَ]ةَ (3) [ثَلاَثَ]ةُ (1) [ثَلاَثَ]ةِ (2) ثَلاَثُ (1) [ثَلاَثُ]ونَ (1) ثَلاَثِ (1) [ثَلاَثِ]ينَ (1) [ثُلُثَا] (1) ثُلُثَيِ (1) وَثُلاَثَ (2) وَثُلُثَهُ (1)
ثلل,2, ثُلَّةٌ وَثُلَّةٌ,3,no vowel,ثُلَّةٌ (2) وَثُلَّةٌ (1)
ثم,3, ثَمَّ ثُمَّ فَثَمَّ,2,no vowel,أَثُمَّ (1) ثَمَّ (3) ثُمَّ (337) فَثَمَّ (1)
ثمر,9, الثَّمَرَاتِ بِثَمَرِهِ ثَمَرٌ ثَمَرَاتٍ ثَمَرَاتُ ثَمَرَاتِ ثَمَرَةٍ ثَمَرِهِ وَالثَّمَرَاتِ,3,no vowel,أَثْمَرَ (2) الثَّمَرَاتِ (11) بِثَمَرِهِ (1) ثَمَرٌ (1) ثَمَرَاتٍ (2) ثَمَرَاتُ (1) ثَمَرَاتِ (1) ثَمَرَةٍ (1) ثَمَرِهِ (3) وَالثَّمَرَاتِ (1)
ثمن,9, الثُّمُنُ بِثَمَنٍ ثَمَانِينَ ثَمَانِيَ ثَمَانِيَةٌ ثَمَانِيَةَ ثَمَنًا وَثَامِنُهُم وَثَمَانِيَةَ,3,no vowel,الثُّمُنُ (1) بِثَمَنٍ (1) ثَمَانِينَ (1) ثَمَانِيَ (1) [ثَمَانِيَ]ةٌ (1) [ثَمَانِيَ]ةَ (2) [ثَمَنًا] (10) [وَثَامِنُهُم] (1) وَ[ثَمَانِيَ]ةَ (1)
ثمود,7, ثَمُودَ ثَمُودَا ثَمُودُ لِثَمُودَ وَثَمُودَ وَثَمُودَا وَثَمُودُ,4,vowel,ثَمُودَ (5) [ثَمُودَ]ا (1) ثَمُودُ (7) لِثَمُودَ (1) وَثَمُودَ (7) وَ[ثَمُودَ]ا (2) وَثَمُودُ (3)
ثني,13, اثْنَا اثْنَانِ اثْنَتَا اثْنَتَي اثْنَتَيْنِ اثْنَي اثْنَيْنِ الْمَثَانِي ثَانِيَ مَثَانِيَ مَثْنَى يَثْنُونَ يَسْتَثْنُونَ,3,vowel,[اثْنَا] (1) اثْنَانِ (1) [اثْنَتَا] (2) [اثْنَتَي] (1) [اثْنَتَي]ْنِ (4) [اثْنَي] (1) [اثْنَي]ْنِ (10) [الْمَثَانِي] (1) ثَانِيَ (2) مَثَانِيَ (1) [مَثْنَى] (3) يَثْنُونَ (1) يَسْتَثْنُونَ (1)
ثوب,17, الثَّوَابُ الثَّوَابِ ثَوَابًا ثَوَابَ ثَوَابُ ثَوَابِ ثُوِّبَ ثِيَابًا ثِيَابٌ ثِيَابَكُم ثِيَابَهُم ثِيَابَهُنَّ ثِيَابُ لَمَثُوبَةٌ مَثَابَةً مَثُوبَةً وَثِيَابَكَ,3,vowel,(6/2) الثَّوَابُ (1) الثَّوَابِ (1) [ثَوَابًا] (4) ثَوَابَ (4) ثَوَابُ (2) ثَوَابِ (1) ثُوِّبَ (1) [ثِيَابًا] (1) ثِيَابٌ (1) [ثِيَابَكُم] (1) [ثِيَابَهُم] (2) ثِيَابَهُنَّ (1) ثِيَابُ (1) فَأَثَابَكُم (1) فَأَثَابَهُمُ (1) لَمَثُوبَةٌ (1) مَثَابَةً (1) مَثُوبَةً (1) وَأَثَابَهُم (1) وَثِيَابَكَ (1)
ثور,0,,3,vowel,وَأَثَارُوا (1)
ثوي,7, ثَاوِيًا مَثْوًى مَثْوَاكُم مَثْوَاهُ مَثْوَايَ مَثْوَى وَمَثْوَاكُم,3,vowel,[ثَاوِيًا] (1) [مَثْوًى] (5) [مَثْوَاكُم] (1) مَثْوَاهُ (1) مَثْوَايَ (1) [مَثْوَى] (4) وَ[مَثْوَاكُم] (1)
ثيب,1, ثَيِّبَاتٍ,3,vowel,ثَيِّبَاتٍ (1)
ثير,2, تُثِيرُ فَتُثِيرُ,3,vowel,تُثِيرُ (1) فَتُثِيرُ (2) (6/3) معجم كلمات القرآن الكريم حسب الجذور ج ---
جءر,3, تَجْئَرُوا تَجْئَرُونَ يَجْئَرُونَ,3,vowel,[تَجْئَرُوا] (1) تَجْئَرُونَ (1) يَجْئَرُونَ (1)
جالوت,3, بِجَالُوتَ جَالُوتَ لِجَالُوتَ,5,vowel,بِجَالُوتَ (1) جَالُوتَ (1) لِجَالُوتَ (1)
جبب,1, الْجُبِّ,3,no vowel,الْجُبِّ (2)
جبت,1, بِالْجِبْتِ,3,no vowel,بِالْجِبْتِ (1)
جبر,5, الْجَبَّارُ بِجَبَّارٍ جَبَّارًا جَبَّارٍ جَبَّارِينَ,3,no vowel,الْجَبَّارُ (1) بِجَبَّارٍ (1) [جَبَّارًا] (3) جَبَّارٍ (3) جَبَّارِينَ (2)
جبريل,3, لِجِبْرِيلَ وَجِبْرِيلَ وَجِبْرِيلُ,5,vowel,لِجِبْرِيلَ (1) وَجِبْرِيلَ (1) وَجِبْرِيلُ (1)
جبل,14, الْجَبَلَ الْجَبَلِ الْجِبَالَ الْجِبَالُ الْجِبَالِ جَبَلٍ جِبَالٍ جِبِلاًّ كَالْجِبَالِ وَالْجِبَالَ وَالْجِبَالُ وَالْجِبَالِ وَالْجِبِلَّةَ يَاجِبَالُ,3,no vowel,الْجَبَلَ (1) الْجَبَلِ (1) الْجِبَالَ (6) الْجِبَالُ (11) الْجِبَالِ (7) جَبَلٍ (3) جِبَالٍ (1) جِبِلاًّ (1) كَالْجِبَالِ (1) لِلْجَبَلِ (1) وَالْجِبَالَ (2) وَالْجِبَالُ (3) وَالْجِبَالِ (1) وَالْجِبِلَّةَ (1) يَاجِبَالُ (1)
جبه,1, جِبَاهُهُم,3,no vowel,[جِبَاهُهُم] (1) لِلْجَبِينِ (1)
جبي,10, اجْتَبَاكُم اجْتَبَاهُ اجْتَبَيْتَهَا فَاجْتَبَاهُ كَالْجَوَابِ وَاجْتَبَيْنَا وَاجْتَبَيْنَاهُم يَجْتَبِي يَجْتَبِيكَ يُجْبَى,3,vowel,[اجْتَبَاكُم] (1) اجْتَبَاهُ (2) [اجْتَبَيْتَهَا] (1) فَاجْتَبَاهُ (1) كَالْجَوَابِ (1) [وَاجْتَبَيْنَا] (1) [وَاجْتَبَيْنَاهُم] (1) [يَجْتَبِي] (2) يَجْتَبِيكَ (1) [يُجْبَى] (1)
جثث,1, اجْتُثَّت,3,no vowel,[اجْتُثَّت] (1)
جثم,1, جَاثِمِينَ,3,no vowel,جَاثِمِينَ (5)
جثو,2, جَاثِيَةً جِثِيًّا,3,vowel,جَاثِيَةً (1) [جِثِيًّا] (2) (7/1)
جحد,4, جَحَدُوا وَجَحَدُوا يَجْحَدُ يَجْحَدُونَ,3,no vowel,[جَحَدُوا] (1) وَ[جَحَدُوا] (1) يَجْحَدُ (3) [يَجْحَدُ]ونَ (7)
جحم,5, الْجَحِيمَ الْجَحِيمُ الْجَحِيمِ جَحِيمٍ وَجَحِيمًا,3,no vowel,الْجَحِيمَ (3) الْجَحِيمُ (3) الْجَحِيمِ (17) جَحِيمٍ (2) [وَجَحِيمًا] (1)
جدث,0,,3,no vowel,الأَجْدَاثِ (3)
جدد,4, جَدِيدًا جَدِيدٍ جَدُّ جُدَدٌ,3,no vowel,[جَدِيدًا] (2) جَدِيدٍ (6) جَدُّ (1) جُدَدٌ (1)
جدر,3, الْجِدَارُ جُدُرٍ جِدَارًا,3,no vowel,الْجِدَارُ (1) جُدُرٍ (1) [جِدَارًا] (1) وَأَجْدَرُ (1)
جدل,18, تُجَادِل تُجَادِلُ تُجَادِلُكَ تُجَادِلُوا جَادَلُوكَ جَادَلْتَنَا جَادَلْتُم جَدَلاً جِدَالَ جِدَالَنَا لِيُجَادِلُوكُم وَجَادَلُوا وَجَادِلْهُم وَيُجَادِلُ يُجَادِلُ يُجَادِلُنَا يُجَادِلُونَ يُجَادِلُونَكَ,3,no vowel,أَ[تُجَادِل]ُونَنِي (1) [تُجَادِل] (1) [تُجَادِل]ُ (1) [تُجَادِل]ُكَ (1) [تُجَادِل]ُوا (1) جَادَلُوكَ (1) [جَادَلْتَنَا] (1) [جَادَلْتُم] (1) جَدَلاً (2) جِدَالَ (1) [جِدَالَ]نَا (1) [لِ[يُجَادِلُ]وكُم] (1) [وَجَادَلُوا] (1) [وَجَادِلْهُم] (1) وَيُجَادِلُ (1) يُجَادِلُ (5) [يُجَادِلُ]نَا (1) [يُجَادِلُ]ونَ (5) [يُجَادِلُ]ونَكَ (2)
جذذ,2, جُذَاذًا مَجْذُوذٍ,3,no vowel,[جُذَاذًا] (1) مَجْذُوذٍ (1)
جذع,3, بِجِذْعِ جُذُوعِ جِذْعِ,3,no vowel,بِجِذْعِ (1) جُذُوعِ (1) جِذْعِ (1)
جذو,1, جَذْوَةٍ,3,vowel,جَذْوَةٍ (1)
جرح,4, اجْتَرَحُوا الْجَوَارِحِ جَرَحْتُم وَالْجُرُوحَ,3,no vowel,[اجْتَرَحُوا] (1) الْجَوَارِحِ (1) [جَرَحْتُم] (1) وَالْجُرُوحَ (1)
جرد,2, جَرَادٌ وَالْجَرَادَ,3,no vowel,جَرَادٌ (1) وَالْجَرَادَ (1)
جرر,1, يَجُرُّهُ,3,no vowel,يَجُرُّهُ (1)
جرز,2, الْجُرُزِ جُرُزًا,3,no vowel,الْجُرُزِ (1) [جُرُزًا] (1) (7/2)
جرع,1, يَتَجَرَّعُهُ,3,no vowel,يَتَجَرَّعُهُ (1)
جرف,1, جُرُفٍ,3,no vowel,جُرُفٍ (1)
جرم,13, الْمُجْرِمُ الْمُجْرِمُونَ الْمُجْرِمِينَ بِالْمُجْرِمِينَ تُجْرِمُونَ جَرَمَ كَالْمُجْرِمِينَ لِلْمُجْرِمِينَ مُجْرِمًا مُجْرِمُونَ مُجْرِمِينَ مُجْرِمِيهَا يَجْرِمَنَّكُم,3,no vowel,أَجْرَمُوا (3) أَجْرَمْنَا (1) إِجْرَامِي (1) الْمُجْرِمُ (1) [الْمُجْرِمُ]ونَ (13) الْمُجْرِمِينَ (19) بِالْمُجْرِمِينَ (2) تُجْرِمُونَ (1) جَرَمَ (5) كَالْمُجْرِمِينَ (1) لِلْمُجْرِمِينَ (2) [مُجْرِمًا] (1) مُجْرِمُونَ (2) مُجْرِمِينَ (10) [مُجْرِمِيهَا] (1) [يَجْرِمَنَّكُم] (3)
جري,11, الْجَارِيَةِ الْجَوَارِ تَجْرِي تَجْرِيَانِ جَارِيَةٌ فَالْجَارِيَاتِ لِتَجْرِيَ مَجْرِيهَا وَجَرَيْنَ وَلِتَجْرِيَ يَجْرِي,3,vowel,الْجَارِيَةِ (1) الْجَوَارِ (3) [تَجْرِي] (48) [تَجْرِي]َانِ (1) جَارِيَةٌ (1) فَالْجَارِيَاتِ (1) لِ[تَجْرِي]َ (2) [مَجْرِيهَا] (1) وَجَرَيْنَ (1) وَلِ[تَجْرِي]َ (1) [يَجْرِي] (4)
جزء,2, جُزْءًا جُزْءٌ,3,vowel,[جُزْءًا] (2) جُزْءٌ (1)
جزع,1, جَزُوعًا,3,no vowel,أَجَزِعْنَا (1) [جَزُوعًا] (1)
جزي,29, الْجِزْيَةَ تَجْزِي تُجْزَوْنَ تُجْزَى جَزَيْتُهُمُ جَزَيْنَاهُم سَنَجْزِي سَيَجْزِيهِم سَيُجْزَوْنَ لِتُجْزَى لِيَجْزِيَ لِيَجْزِيَكَ لِيَجْزِيَهُمُ نَجْزِي نَجْزِيهِ نُجَازِي وَجَزَاهُم وَسَنَجْزِي وَسَيَجْزِي وَلَنَجْزِيَنَّ وَلَنَجْزِيَنَّهُم وَلِتُجْزَى وَيَجْزِيَ وَيَجْزِيَهُم يَجْزِي يُجْزَ يُجْزَاهُ يُجْزَوْنَ يُجْزَى,3,vowel,الْجَزَاءَ (1) الْجِزْيَةَ (1) [تَجْزِي] (2) تُجْزَوْنَ (9) [تُجْزَى] (2) جَزَاءً (15) جَزَاءُ (11) جَزَاؤُا (3) جَزَاؤُكُم (1) جَزَاؤُهُ (3) جَزَاؤُهُم (5) جَزَيْتُهُمُ (1) [جَزَيْنَاهُم] (2) [سَ[نَجْزِي]] (1) [سَيَجْزِيهِم] (2) سَ[يُجْزَ]وْنَ (2) فَجَزَاءٌ (1) فَجَزَاؤُهُ (1) لِ[تُجْزَى] (1) لِ[يَجْزِي]َ (7) [لِ[يَجْزِي]َ]كَ (1) [لِ[يَجْزِي]َ]هُمُ (2) [نَجْزِي] (19) نَجْزِيهِ (1) [نُجَازِي] (1) وَجَزَاؤُا (1) [وَجَزَاهُم] (1) وَ[سَ[نَجْزِي]] (1) [وَسَ[يَجْزِي]] (1) وَلَ[نَجْزِي]َنَّ (1) وَلَ[نَجْزِي]َنَّهُم (3) وَلِ[تُجْزَى] (1) وَ[يَجْزِي]َ (1) [وَ[يَجْزِي]َ]هُم (1) [يَجْزِي] (3) يُجْزَ (1) [يُجْزَ]اهُ (1) [يُجْزَ]وْنَ (3) [يُجْزَ]ى (3)
جسد,1, *جَسَدًا,3,no vowel,(7/3) *جَسَدًا *(4)
جسس,1, تَجَسَّسُوا,3,no vowel,[تَجَسَّسُوا] (1)
جسم,0,,3,no vowel,
جعل,96, اجْعَل اجْعَلُوا اجْعَلْنِي تَجْعَل تَجْعَلَ تَجْعَلُوا تَجْعَلُونَهُ تَجْعَلْنَا تَجْعَلْنِي جَاعِلٌ جَاعِلُكَ جَاعِلِ جَعَلاَ جَعَلَ جَعَلَتْهُ جَعَلَكُم جَعَلَهَا جَعَلَهُ جَعَلُوا جَعَلْتُمُ جَعَلْنَا جَعَلْنَاكَ جَعَلْنَاكُم جَعَلْنَاهَا جَعَلْنَاهُ جَعَلْنَاهُم جُعِلَ سَيَجْعَلُ فَاجْعَل فَجَعَلَ فَجَعَلَهُ فَجَعَلَهُم فَجَعَلْتُم فَجَعَلْنَا فَجَعَلْنَاهَا فَجَعَلْنَاهُ فَجَعَلْنَاهُم فَجَعَلْنَاهُمُ فَجَعَلْنَاهُنَّ فَنَجْعَل فَيَجْعَلَهُ لَجَاعِلُونَ لَجَعَلَ لَجَعَلَكُم لَجَعَلَهُ لَجَعَلَهُم لَجَعَلْنَا لَجَعَلْنَاهُ لِنَجْعَلَهَا لِيَجْعَلَ نَجْعَل نَجْعَلَ نَجْعَلَهُم نَجْعَلُ نَجْعَلُهَا نَجْعَلِ نَجْعَلْهُمَا وَاجْعَل وَاجْعَلُوا وَاجْعَلْنَا وَاجْعَلْنِي وَاجْعَلْهُ وَتَجْعَلُونَ وَجَاعِلُ وَجَاعِلُوهُ وَجَعَلَ وَجَعَلَكُم وَجَعَلَنِي وَجَعَلَهَا وَجَعَلُوا وَجَعَلْتُ وَجَعَلْنَا وَجَعَلْنَاكُم وَجَعَلْنَاهَا وَجَعَلْنَاهُ وَجَعَلْنَاهُم وَلِنَجْعَلَكَ وَلِنَجْعَلَهُ وَنَجْعَلَ وَنَجْعَلَهُمُ وَنَجْعَلُ وَيَجْعَل وَيَجْعَلَ وَيَجْعَلُ وَيَجْعَلُكُم وَيَجْعَلُهُ وَيَجْعَلُونَ يَجْعَل يَجْعَلَ يَجْعَلُ يَجْعَلُهُ يَجْعَلُونَ يَجْعَلُوهُ يَجْعَلِ يَجْعَلْنِي يَجْعَلْهُ,3,no vowel,أَ[تَجْعَل]ُ (1) أَجَعَلَ (1) أَجَعَلْتُم (1) أَ[جَعَلْنَا] (1) أَجْعَل (1) أَ[فَ[نَجْعَل]]ُ (1) [اجْعَل] (6) [اجْعَل]ُوا (1) [اجْعَل]ْنِي (2) [تَجْعَل] (4) [تَجْعَل]َ (1) [تَجْعَل]ُوا (5) [تَجْعَل]ُونَهُ (1) [تَجْعَل]ْنَا (3) [تَجْعَل]ْنِي (2) جَاعِلٌ (1) جَاعِلُكَ (1) جَاعِلِ (1) جَعَلاَ (1) جَعَلَ (44) [جَعَلَ]تْهُ (1) [جَعَلَ]كُم (6) [جَعَلَ]هَا (1) [جَعَلَ]هُ (5) [جَعَلُوا] (3) جَعَلْتُمُ (1) [جَعَلْنَا] (29) جَعَلْنَاكَ (3) [جَعَلْنَاكُم] (2) [جَعَلْنَاهَا] (3) جَعَلْنَاهُ (7) [جَعَلْنَاهُ]م (2) جُعِلَ (1) سَ[يَجْعَل]ُ (2) فَ[اجْعَل] (3) فَجَعَلَ (2) فَ[جَعَلَ]هُ (3) فَ[جَعَلَ]هُم (2) [فَجَعَلْتُم] (1) فَ[جَعَلْنَا] (1) فَ[جَعَلْنَاهَا] (2) فَجَعَلْنَاهُ (3) فَ[جَعَلْنَاهُ]م (3) فَ[جَعَلْنَاهُ]مُ (2) فَ[جَعَلْنَاهُ]نَّ (1) [فَ[نَجْعَل]] (1) فَ[يَجْعَل]َهُ (1) لأَجْعَلَنَّكَ (1) لَجَاعِلُونَ (1) لَجَعَلَ (1) لَ[جَعَلَ]كُم (2) لَ[جَعَلَ]هُ (1) لَ[جَعَلَ]هُم (1) لَ[جَعَلْنَا] (2) لَجَعَلْنَاهُ (2) [لِ[نَجْعَل]َهَا] (1) لِ[يَجْعَل]َ (3) [نَجْعَل] (3) [نَجْعَل]َ (1) [نَجْعَل]َهُم (1) [نَجْعَل]ُ (3) [نَجْعَل]ُهَا (1) [نَجْعَل]ِ (2) [نَجْعَل]ْهُمَا (1) وَ[اجْعَل] (5) وَ[اجْعَل]ُوا (1) وَ[اجْعَل]ْنَا (2) وَ[اجْعَل]ْنِي (1) وَ[اجْعَل]ْهُ (1) وَ[تَجْعَل]ُونَ (2) وَجَاعِلُ (1) [وَجَاعِلُ]وهُ (1) وَجَعَلَ (29) وَ[جَعَلَ]كُم (1) وَ[جَعَلَ]نِي (4) وَ[جَعَلَ]هَا (1) وَ[جَعَلُوا] (8) وَجَعَلْتُ (1) وَ[جَعَلْنَا] (37) وَ[جَعَلْنَاكُم] (2) وَ[جَعَلْنَاهَا] (3) وَجَعَلْنَاهُ (3) وَ[جَعَلْنَاهُ]م (5) وَلِ[نَجْعَل]َكَ (1) وَلِ[نَجْعَل]َهُ (1) وَ[نَجْعَل]َ (1) وَ[نَجْعَل]َهُمُ (7/4) (2) وَنَجْعَلُ (1) [وَ[يَجْعَل]] (4) [وَ[يَجْعَل]]َ (2) [وَ[يَجْعَل]]ُ (2) [وَ[يَجْعَل]]ُكُم (1) [وَ[يَجْعَل]]ُهُ (1) [وَ[يَجْعَل]]ُونَ (3) [يَجْعَل] (6) [يَجْعَل]َ (4) [يَجْعَل]ُ (4) [يَجْعَل]ُهُ (2) [يَجْعَل]ُونَ (2) [يَجْعَل]ُوهُ (1) [يَجْعَل]ِ (1) [يَجْعَل]ْنِي (1) [يَجْعَل]ْهُ (1)
جفن,1, وَجِفَانٍ,3,no vowel,وَجِفَانٍ (1)
جفو,1, تَتَجَافَى,3,vowel,[تَتَجَافَى] (1) جُفَاءً (1)
جلب,1, جَلاَبِيبِهِنَّ,3,no vowel,جَلاَبِيبِهِنَّ (1) وَأَجْلِب (1)
جلد,12, جَلْدَةً جَلْدَةٍ جُلُودًا جُلُودُ جُلُودُكُم جُلُودُهُم جُلُودِ فَاجْلِدُوا فَاجْلِدُوهُم لِجُلُودِهِم وَالْجُلُودُ وَجُلُودُهُم,3,no vowel,جَلْدَةً (1) جَلْدَةٍ (1) [جُلُودًا] (1) جُلُودُ (1) [جُلُودُ]كُم (1) [جُلُودُ]هُم (2) جُلُودِ (1) [فَاجْلِدُوا] (1) [فَاجْلِدُوهُم] (1) لِ[جُلُودِ]هِم (1) وَالْجُلُودُ (1) وَ[جُلُودُ]هُم (1)
جلس,1, الْمَجَالِسِ,3,no vowel,الْمَجَالِسِ (1)
