Term,Normalized Term,Root,Is Sure,Source
الْأَبُّ,الأب,	أب ب,TRUE,mukhtar.bok
الْأَثَرَةُ,الأثرة,	أث ر,TRUE,mukhtar.bok
الْمَأْثَرَةُ,المأثرة,	أث ر,TRUE,mukhtar.bok
آثَرَهُ,أاثره,	أث ر,TRUE,mukhtar.bok
أَثَارَةٌ,أثارة,	أث ر,TRUE,mukhtar.bok
التَّأْثِيرُ,التأثير,	أث ر,TRUE,mukhtar.bok
الْأَثْلُ,الأثل,	أث ل,TRUE,mukhtar.bok
أَثْلَةٌ,أثلة,	أث ل,TRUE,mukhtar.bok
التَّأَثُّلُ,التأثل,	أث ل,TRUE,mukhtar.bok
الْإِثْمُ,الأثم,	أث م,TRUE,mukhtar.bok
آثِمٌ,أاثم,	أث م,TRUE,mukhtar.bok
أَثِيمٌ,أثيم,	أث م,TRUE,mukhtar.bok
أَثُومٌ,أثوم,	أث م,TRUE,mukhtar.bok
مَأْثُومٌ,مأثوم,	أث م,TRUE,mukhtar.bok
آثَمَهُ,أاثمه,	أث م,TRUE,mukhtar.bok
أَثَّمَهُ,أثمه,	أث م,TRUE,mukhtar.bok
تَأَثَّمَ,تأثم,	أث م,TRUE,mukhtar.bok
الْأَثَامُ,الأثام,	أث م,TRUE,mukhtar.bok
الْأَجْرُ,الأجر,	أج ر,TRUE,mukhtar.bok
أَجَرَهُ,أجره,	أج ر,TRUE,mukhtar.bok
آجَرَهُ,أاجره,	أج ر,TRUE,mukhtar.bok
إِيجَارًا,أيجارا,	أج ر,TRUE,mukhtar.bok
الْأُجْرَةُ,الأجرة,	أج ر,TRUE,mukhtar.bok
اسْتَأْجَرْتُ,استأجرت,	أج ر,TRUE,mukhtar.bok
أَجِيرِي,أجيري,	أج ر,TRUE,mukhtar.bok
أْتَجَرَ,أتجر,	أج ر,TRUE,mukhtar.bok
مُؤْتَجِرٌ,مأتجر,	أج ر,TRUE,mukhtar.bok
آجَرَهُ,أاجره,	أج ر,TRUE,mukhtar.bok
الْإِجَّارُ,الأجار,	أج ر,TRUE,mukhtar.bok
الْآجُرُّ,الأاجر,	أج ر,TRUE,mukhtar.bok
الْإِجَّاصُ,الأجاص,	أج ص,TRUE,mukhtar.bok
إِجَّاصَةٌ,أجاصة,	أج ص,TRUE,mukhtar.bok
الْأَجَلُ,الأجل,	أج ل,TRUE,mukhtar.bok
اسْتَأْجَلَهُ فَأَجَّلَهُ,استأجلهفأجله,	أج ل,TRUE,mukhtar.bok
الْآجِلُ,الأاجل,	أج ل,TRUE,mukhtar.bok
الْآجِلَةُ,الأاجلة,	أج ل,TRUE,mukhtar.bok
أَجَلَ,أجل,	أج ل,TRUE,mukhtar.bok
أَجَلْ,أجل,	أج ل,TRUE,mukhtar.bok
الْأَجَمَةُ,الأجمة,	أج م,TRUE,mukhtar.bok
أَجَمَاتٌ,أجمات,	أج م,TRUE,mukhtar.bok
أَجَمٌ,أجم,	أج م,TRUE,mukhtar.bok
آجَامٌ,أاجام,	أج م,TRUE,mukhtar.bok
إِجَامٌ,أجام,	أج م,TRUE,mukhtar.bok
أُجُمٌ,أجم,	أج م,TRUE,mukhtar.bok
الْأَجَمُ,الأجم,	أج م,TRUE,mukhtar.bok
الْآجِنُ,الأاجن,	أج ن,TRUE,mukhtar.bok
أَجَنَ,أجن,	أج ن,TRUE,mukhtar.bok
أَجِنَ,أجن,	أج ن,TRUE,mukhtar.bok
أَجِنٌ,أجن,	أج ن,TRUE,mukhtar.bok
الْإِجَّانَةُ,الأجانة,	أج ن,TRUE,mukhtar.bok
الْأَجَاجِينِ,الأجاجين,	أج ن,TRUE,mukhtar.bok
أَحَّ,أح,	أح ح,TRUE,mukhtar.bok
الْأَحَدُ,الأحد,	أح د,TRUE,mukhtar.bok
أَحَدَ,أحد,	أح د,TRUE,mukhtar.bok
آحَادٍ,أاحاد,	أح د,TRUE,mukhtar.bok
أُحَادَ أُحَادَ,أحادأحاد,	أح د,TRUE,mukhtar.bok
أُحُدٌ,أحد,	أح د,TRUE,mukhtar.bok
فَأَحِّدْهُنَّ,فأحدهن,	أح د,TRUE,mukhtar.bok
الْإِحْنَةُ,الأحنة,	أح ن,TRUE,mukhtar.bok
إِحَنٌ,أحن,	أح ن,TRUE,mukhtar.bok
أَحِنَ,أحن,	أح ن,TRUE,mukhtar.bok
أَخَذَ,أخذ,	أخ ذ,TRUE,mukhtar.bok
الْإِخْذُ,الأخذ,	أخ ذ,TRUE,mukhtar.bok
خُذْ,خذ,	أخ ذ,TRUE,mukhtar.bok
آخَذَهُ,أاخذه,	أخ ذ,TRUE,mukhtar.bok
مُؤَاخَذَةً,مأاخذة,	أخ ذ,TRUE,mukhtar.bok
الِاتِّخَاذُ,الاتخاذ,	أخ ذ,TRUE,mukhtar.bok
تَخِذَ,تخذ,	أخ ذ,TRUE,mukhtar.bok
التَّأْخَاذُ,التأخاذ,	أخ ذ,TRUE,mukhtar.bok
الْإِخَاذَةُ,الأخاذة,	أخ ذ,TRUE,mukhtar.bok
إِخَاذٌ,أخاذ,	أخ ذ,TRUE,mukhtar.bok
أُخُذٌ,أخذ,	أخ ذ,TRUE,mukhtar.bok
أُخْذٌ,أخذ,	أخ ذ,TRUE,mukhtar.bok
أَخَّرَهُ فَتَأَخَّرَ,أخرهفتأخر,	أخ ر,TRUE,mukhtar.bok
اسْتَأْخَرَ,استأخر,	أخ ر,TRUE,mukhtar.bok
الْآخِرُ,الأاخر,	أخ ر,TRUE,mukhtar.bok
آخِرًا,أاخرا,	أخ ر,TRUE,mukhtar.bok
أَخِيرًا,أخيرا,	أخ ر,TRUE,mukhtar.bok
آخِرَةٌ,أاخرة,	أخ ر,TRUE,mukhtar.bok
أَوَاخِرُ,أواخر,	أخ ر,TRUE,mukhtar.bok
الْآخَرُ,الأاخر,	أخ ر,TRUE,mukhtar.bok
أُخْرَى,أخرى,	أخ ر,TRUE,mukhtar.bok
أُخْرَيَاتِ,أخريات,	أخ ر,TRUE,mukhtar.bok
أَوَاخِرِهِمْ,أواخرهم,	أخ ر,TRUE,mukhtar.bok
أُخْرَى,أخرى,	أخ ر,TRUE,mukhtar.bok
بِأَخِرَةٍ,بأخرة,	أخ ر,TRUE,mukhtar.bok
بِأَخَرَةٍ,بأخرة,	أخ ر,TRUE,mukhtar.bok
أُخُرًا,أخرا,	أخ ر,TRUE,mukhtar.bok
مُؤْخِرُ,مأخر,	أخ ر,TRUE,mukhtar.bok
مُؤْخِرَةُ,مأخرة,	أخ ر,TRUE,mukhtar.bok
آخِرَةِ,أاخرة,	أخ ر,TRUE,mukhtar.bok
مُؤَخَّرُ,مأخر,	أخ ر,TRUE,mukhtar.bok
أُخَرُ,أخر,	أخ ر,TRUE,mukhtar.bok
أُخْرَى,أخرى,	أخ ر,TRUE,mukhtar.bok
أَدُبَ,أدب,	أد ب,TRUE,mukhtar.bok
أَدِيبٌ,أديب,	أد ب,TRUE,mukhtar.bok
اسْتَأْدَبَ,استأدب,	أد ب,TRUE,mukhtar.bok
تَأَدَّبَ,تأدب,	أد ب,TRUE,mukhtar.bok
الْإِدُّ,الأد,	أد د,TRUE,mukhtar.bok
الْإِدَّةُ,الأدة,	أد د,TRUE,mukhtar.bok
أُدَدٌ,أدد,	أد د,TRUE,mukhtar.bok
الْأَدَمُ,الأدم,	أد م,TRUE,mukhtar.bok
أَدِيمٍ,أديم,	أد م,TRUE,mukhtar.bok
آدِمَةٍ,أادمة,	أد م,TRUE,mukhtar.bok
أَدِيمًا,أديما,	أد م,TRUE,mukhtar.bok
الْأَدَمَةُ,الأدمة,	أد م,TRUE,mukhtar.bok
الْأُدْمَةُ,الأدمة,	أد م,TRUE,mukhtar.bok
الْآدَمُ,الأادم,	أد م,TRUE,mukhtar.bok
أُدْمَانٌ,أدمان,	أد م,TRUE,mukhtar.bok
الْآدَمُ,الأادم,	أد م,TRUE,mukhtar.bok
آدَمُ,أادم,	أد م,TRUE,mukhtar.bok
أَدْمَاءُ,أدماأ,	أد م,TRUE,mukhtar.bok
أُدْمٌ,أدم,	أد م,TRUE,mukhtar.bok
آدَمُ,أادم,	أد م,TRUE,mukhtar.bok
الْأُدْمُ,الأدم,	أد م,TRUE,mukhtar.bok
الْإِدَامُ,الأدام,	أد م,TRUE,mukhtar.bok
يُؤْتَدَمُ,يأتدم,	أد م,TRUE,mukhtar.bok
الْأَدْمُ,الأدم,	أد م,TRUE,mukhtar.bok
أَدَمَ,أدم,	أد م,TRUE,mukhtar.bok
آدَمَ,أادم,	أد م,TRUE,mukhtar.bok
الْأَدَاةُ,الأداة,	أد ا,TRUE,mukhtar.bok
الْأَدَوَاتُ,الأدوات,	أد ا,TRUE,mukhtar.bok
أَدَيْهِ,أديه,	أد ا,TRUE,mukhtar.bok
أَدَّى,أدى,	أد ا,TRUE,mukhtar.bok
تَأْدِيَةً,تأدية,	أد ا,TRUE,mukhtar.bok
الْأَدَاءُ,الأداأ,	أد ا,TRUE,mukhtar.bok
تَأَدَّى,تأدى,	أد ا,TRUE,mukhtar.bok
الْإِدَاوَةُ,الأداوة,	أد ا,TRUE,mukhtar.bok
الْأَدَاوَى,الأداوى,	أد ا,TRUE,mukhtar.bok
إِذْ,أذ,	إ ذ,TRUE,mukhtar.bok
مَا,ما,	إ ذ,TRUE,mukhtar.bok
كَذَا ذَكَرَ فِي بَابِ الذَّالِ وَقَالَ فِي بَابِ الْأَلِفِ اللَّيِّنَةِ بَعْدَ الْكَلَامِ عَلَى إِذَا الْآتِي مَا نَصُّهُ,كذاذكرفيبابالذالوقالفيبابالألفاللينةبعدالكلامعلىأذاالأاتيمانصه,	إ ذ,TRUE,mukhtar.bok
إِذْ,أذ,	إ ذ,TRUE,mukhtar.bok
إِذَا,أذا,	إ ذ ا,TRUE,mukhtar.bok
أَذِنَ,أذن,	أذ ن,TRUE,mukhtar.bok
إِذْنًا,أذنا,	أذ ن,TRUE,mukhtar.bok
أَذِنَ,أذن,	أذ ن,TRUE,mukhtar.bok
الْأَذَانُ,الأذان,	أذ ن,TRUE,mukhtar.bok
الْمِئْذَنَةُ,المأذنة,	أذ ن,TRUE,mukhtar.bok
الْأُذُنُ,الأذن,	أذ ن,TRUE,mukhtar.bok
أُذَيْنَةٌ,أذينة,	أذ ن,TRUE,mukhtar.bok
أُذُنٌ,أذن,	أذ ن,TRUE,mukhtar.bok
آذَنَهُ,أاذنه,	أذ ن,TRUE,mukhtar.bok
آذَنَ,أاذن,	أذ ن,TRUE,mukhtar.bok
تَأَذَّنَ,تأذن,	أذ ن,TRUE,mukhtar.bok
إِذَنْ,أذن,	أذ ن,TRUE,mukhtar.bok
آذَاهُ,أاذاه,	أذ ى,TRUE,mukhtar.bok
أَذًى,أذى,	أذ ى,TRUE,mukhtar.bok
أَذَاةً,أذاة,	أذ ى,TRUE,mukhtar.bok
أَذِيَّةً,أذية,	أذ ى,TRUE,mukhtar.bok
تَأَذَّى,تأذى,	أذ ى,TRUE,mukhtar.bok
الْإِرْبُ,الأرب,	أر ب,TRUE,mukhtar.bok
آرَابٌ,أاراب,	أر ب,TRUE,mukhtar.bok
أَرْآبٌ,أرأاب,	أر ب,TRUE,mukhtar.bok
الْإِرْبُ,الأرب,	أر ب,TRUE,mukhtar.bok
يُؤَارِبُ,يأارب,	أر ب,TRUE,mukhtar.bok
الْأَرِيبُ,الأريب,	أر ب,TRUE,mukhtar.bok
الْإِرْبُ,الأرب,	أر ب,TRUE,mukhtar.bok
الْإِرْبَةُ,الأربة,	أر ب,TRUE,mukhtar.bok
الْأَرَبُ,الأرب,	أر ب,TRUE,mukhtar.bok
الْمَأْرَبَةُ,المأربة,	أر ب,TRUE,mukhtar.bok
مَأْرِبَةٌ,مأربة,	أر ب,TRUE,mukhtar.bok
الْإِرْثُ,الأرث,	أر ث,TRUE,mukhtar.bok
الْأَرَجُ,الأرج,	أر ج,TRUE,mukhtar.bok
الْأَرِيجُ,الأريج,	أر ج,TRUE,mukhtar.bok
أَرِجَ,أرج,	أر ج,TRUE,mukhtar.bok
أَرِيجًا,أريجا,	أر ج,TRUE,mukhtar.bok
أَرَّجَانُ,أرجان,	أر ج,TRUE,mukhtar.bok
التَّأْرِيخُ,التأريخ,	أر خ,TRUE,mukhtar.bok
التَّوْرِيخُ,التوريخ,	أر خ,TRUE,mukhtar.bok
أَرَّخَ,أرخ,	أر خ,TRUE,mukhtar.bok
وَرَّخَهُ,ورخه,	أر خ,TRUE,mukhtar.bok
الْأَرُزُّ,الأرز,	أر ز,TRUE,mukhtar.bok
أَرُزٌّ,أرز,	أر ز,TRUE,mukhtar.bok
أُرْزٌ,أرز,	أر ز,TRUE,mukhtar.bok
أُرُزٌ,أرز,	أر ز,TRUE,mukhtar.bok
رُزٌّ,رز,	أر ز,TRUE,mukhtar.bok
رُنْزٌ,رنز,	أر ز,TRUE,mukhtar.bok
الْأَرَزَةُ,الأرزة,	أر ز,TRUE,mukhtar.bok
الْأَرْزَةُ,الأرزة,	أر ز,TRUE,mukhtar.bok
لَيَأْرِزُ,ليأرز,	أر ز,TRUE,mukhtar.bok
الْأَرْشُ,الأرش,	أر ش,TRUE,mukhtar.bok
الْأَرْضُ,الأرض,	أر ض,TRUE,mukhtar.bok
أَرَضَاتٌ,أرضات,	أر ض,TRUE,mukhtar.bok
أَرَضُونَ,أرضون,	أر ض,TRUE,mukhtar.bok
أُرُوضٍ,أروض,	أر ض,TRUE,mukhtar.bok
آرَاضٍ,أاراض,	أر ض,TRUE,mukhtar.bok
الْأَرَاضِي,الأراضي,	أر ض,TRUE,mukhtar.bok
أَرْضٌ أَرِيضَةٌ,أرضأريضة,	أر ض,TRUE,mukhtar.bok
الْأَرَاضَةِ,الأراضة,	أر ض,TRUE,mukhtar.bok
الْأَرْضُ الْأَرِيضَةُ,الأرضالأريضة,	أر ض,TRUE,mukhtar.bok
الْأَرْضُ,الأرض,	أر ض,TRUE,mukhtar.bok
الْأَرَضَةُ,الأرضة,	أر ض,TRUE,mukhtar.bok
أُرِضَتِ,أرضت,	أر ض,TRUE,mukhtar.bok
مَأْرُوضَةٌ,مأروضة,	أر ض,TRUE,mukhtar.bok
الْأُرْفَةُ,الأرفة,	أر ف,TRUE,mukhtar.bok
أُرَفٌ,أرف,	أر ف,TRUE,mukhtar.bok
الْأُرَفُ,الأرف,	أر ف,TRUE,mukhtar.bok
الْأَرَقُ,الأرق,	أر ق,TRUE,mukhtar.bok
أَرَّقَهُ,أرقه,	أر ق,TRUE,mukhtar.bok
تَأْرِيقًا,تأريقا,	أر ق,TRUE,mukhtar.bok
الْأَرَقَانُ,الأرقان,	أر ق,TRUE,mukhtar.bok
الْأَرَاكُ,الأراك,	أر ك,TRUE,mukhtar.bok
أَرَاكَةٌ,أراكة,	أر ك,TRUE,mukhtar.bok
الْأَرِيكَةُ,الأريكة,	أر ك,TRUE,mukhtar.bok
أَرَائِكُ,أراأك,	أر ك,TRUE,mukhtar.bok
الْأَرْيُ,الأري,	أر ى,TRUE,mukhtar.bok
الْآرِيُّ,الأاري,	أر ى,TRUE,mukhtar.bok
الْأَوَارِي,الأواري,	أر ى,TRUE,mukhtar.bok
الْمِئْزَابُ,المأزاب,	أز ب,TRUE,mukhtar.bok
مَآزِيبُ,مأازيب,	أز ب,TRUE,mukhtar.bok
الْأَزْرُ,الأزر,	أز ر,TRUE,mukhtar.bok
آزَرَهُ,أازره,	أز ر,TRUE,mukhtar.bok
الْإِزَارُ,الأزار,	أز ر,TRUE,mukhtar.bok
الْإِزَارَةُ,الأزارة,	أز ر,TRUE,mukhtar.bok
آزِرَةٌ,أازرة,	أز ر,TRUE,mukhtar.bok
أُزُرٌ,أزر,	أز ر,TRUE,mukhtar.bok
الْمِئْزَرُ,المأزر,	أز ر,TRUE,mukhtar.bok
أَزَّرَهُ تَأْزِيرًا فَتَأَزَّرَ,أزرهتأزيرافتأزر,	أز ر,TRUE,mukhtar.bok
أْتَزَرَ إِزْرَةً,أتزرأزرة,	أز ر,TRUE,mukhtar.bok
آزَرُ,أازر,	أز ر,TRUE,mukhtar.bok
الْأَزِيزُ,الأزيز,	أز ز,TRUE,mukhtar.bok
الْأَزُّ,الأز,	أز ز,TRUE,mukhtar.bok
أَزِفَ,أزف,	أز ف,TRUE,mukhtar.bok
الْأَزَلُ,الأزل,	أز ل,TRUE,mukhtar.bok
أَزَلِيٌّ,أزلي,	أز ل,TRUE,mukhtar.bok
الْأَزْمَةُ,الأزمة,	أز م,TRUE,mukhtar.bok
أَزَمَ,أزم,	أز م,TRUE,mukhtar.bok
الْأَزْمُ,الأزم,	أز م,TRUE,mukhtar.bok
الْمَأْزِمُ,المأزم,	أز م,TRUE,mukhtar.bok
بِإِزَائِهِ,بأزاأه,	أز ا,TRUE,mukhtar.bok
آزَاهُ,أازاه,	أز ا,TRUE,mukhtar.bok
الْأَسَدُ,الأسد,	أس د,TRUE,mukhtar.bok
أُسُودٌ,أسود,	أس د,TRUE,mukhtar.bok
أُسُدٌ,أسد,	أس د,TRUE,mukhtar.bok
آسُدٌ,أاسد,	أس د,TRUE,mukhtar.bok
آسَادٌ,أاساد,	أس د,TRUE,mukhtar.bok
أَسَدَةٌ,أسدة,	أس د,TRUE,mukhtar.bok
مَأْسَدَةٌ,مأسدة,	أس د,TRUE,mukhtar.bok
أَسِدَ,أسد,	أس د,TRUE,mukhtar.bok
اسْتَأْسَدَ,استأسد,	أس د,TRUE,mukhtar.bok
الْإِسَادَةُ,الأسادة,	أس د,TRUE,mukhtar.bok
أَسَرَ,أسر,	أس ر,TRUE,mukhtar.bok
الْأَسِيرُ,الأسير,	أس ر,TRUE,mukhtar.bok
أَسَرَهُ,أسره,	أس ر,TRUE,mukhtar.bok
إِسَارًا,أسارا,	أس ر,TRUE,mukhtar.bok
أَسِيرٌ,أسير,	أس ر,TRUE,mukhtar.bok
مَأْسُورٌ,مأسور,	أس ر,TRUE,mukhtar.bok
أَسْرَى,أسرى,	أس ر,TRUE,mukhtar.bok
أَسَارَى,أسارى,	أس ر,TRUE,mukhtar.bok
بِأَسْرِهِ,بأسره,	أس ر,TRUE,mukhtar.bok
أَسَرَهُ,أسره,	أس ر,TRUE,mukhtar.bok
الْأُسْرُ,الأسر,	أس ر,TRUE,mukhtar.bok
أُسْرَةُ,أسرة,	أس ر,TRUE,mukhtar.bok
الْأُسُّ,الأس,	أس س,TRUE,mukhtar.bok
الْأَسَاسُ,الأساس,	أس س,TRUE,mukhtar.bok
الْأَسَسُ,الأسس,	أس س,TRUE,mukhtar.bok
إِسَاسٌ,أساس,	أس س,TRUE,mukhtar.bok
أُسُسٌ,أسس,	أس س,TRUE,mukhtar.bok
آسَاسٌ,أاساس,	أس س,TRUE,mukhtar.bok
أَسَّسَ,أسس,	أس س,TRUE,mukhtar.bok
تَأْسِيسًا,تأسيسا,	أس س,TRUE,mukhtar.bok
الْأَسَفُ,الأسف,	أس ف,TRUE,mukhtar.bok
أَسِفَ,أسف,	أس ف,TRUE,mukhtar.bok
تَأَسَّفَ,تأسف,	أس ف,TRUE,mukhtar.bok
أَسِفَ,أسف,	أس ف,TRUE,mukhtar.bok
آسَفَهُ,أاسفه,	أس ف,TRUE,mukhtar.bok
يُوسُفُ,يوسف,	أس ف,TRUE,mukhtar.bok
الْأَسَلُ,الأسل,	أس ل,TRUE,mukhtar.bok
أَسَلًا,أسلا,	أس ل,TRUE,mukhtar.bok
أَسِيلُ,أسيل,	أس ل,TRUE,mukhtar.bok
أَسُلَ,أسل,	أس ل,TRUE,mukhtar.bok
أُسَامَةُ,أسامة,	أس م,TRUE,mukhtar.bok
الْآسِنُ,الأاسن,	أس ن,TRUE,mukhtar.bok
أَسَنَ,أسن,	أس ن,TRUE,mukhtar.bok
أَسِنَ,أسن,	أس ن,TRUE,mukhtar.bok
أَسِنٌ,أسن,	أس ن,TRUE,mukhtar.bok
أَسَّاهُ تَأْسِيَةً,أساهتأسية,	أس ا,TRUE,mukhtar.bok
آسَاهُ,أاساه,	أس ا,TRUE,mukhtar.bok
مُؤَاسَاةً,مأاساة,	أس ا,TRUE,mukhtar.bok
وَاسَاهُ,واساه,	أس ا,TRUE,mukhtar.bok
الْإِسْوَةُ,الأسوة,	أس ا,TRUE,mukhtar.bok
يَأْتَسِي,يأتسي,	أس ا,TRUE,mukhtar.bok
إِسًى,أسى,	أس ا,TRUE,mukhtar.bok
أْتَسَى,أتسى,	أس ا,TRUE,mukhtar.bok
تَأَسَّى,تأسى,	أس ا,TRUE,mukhtar.bok
تَآسَوْا,تأاسوا,	أس ا,TRUE,mukhtar.bok
إِسْوَةٌ,أسوة,	أس ا,TRUE,mukhtar.bok
الْأَسَى,الأسى,	أس ا,TRUE,mukhtar.bok
الْإِسَاءُ,الأساأ,	أس ا,TRUE,mukhtar.bok
أَسَوْتُ,أسوت,	أس ا,TRUE,mukhtar.bok
مَأْسُوٌّ,مأسو,	أس ا,TRUE,mukhtar.bok
أَسِيٌّ,أسي,	أس ا,TRUE,mukhtar.bok
الْآسِي,الأاسي,	أس ا,TRUE,mukhtar.bok
أُسَاةٌ,أساة,	أس ا,TRUE,mukhtar.bok
أَسِيَ,أسي,	أس ا,TRUE,mukhtar.bok
الْأَشَرُ,الأشر,	أش ر,TRUE,mukhtar.bok
أَشِرٌ,أشر,	أش ر,TRUE,mukhtar.bok
أَشْرَانُ,أشران,	أش ر,TRUE,mukhtar.bok
أَشَارَى,أشارى,	أش ر,TRUE,mukhtar.bok
تَأْشِيرُ,تأشير,	أش ر,TRUE,mukhtar.bok
أَشَرَ,أشر,	أش ر,TRUE,mukhtar.bok
الْأَشَاشُ,الأشاش,	أش ش,TRUE,mukhtar.bok
الْإِشْفَى,الأشفى,	أش ف,TRUE,mukhtar.bok
الْأَشَافِي,الأشافي,	أش ف,TRUE,mukhtar.bok
