Root,No of derevatives found,derevatives found,Root Length,Has Vowel,Full Text
قزن,0,,3,no vowel, *قزن*	 ابن الأَعرابي  يقال أَقْزَنَ زيدٌ ساقَ غلامِه إِذا كسرها 
كفهر,12, المُكْفَهِرُّ مُكْفَهِرّ مُكْفَهِرّ مُكْفَهِرٍّ مُكْفَهِرَّ اكْفَهَرَّ واكْفَهَرَّ واكْفَهَرَّتْ المُكْفَهِرّ مُكْفَهِرُّ مُكْفَهِرٌّ مُكْفَهِرٌّ,4,no vowel, *كفهر*	 المُكْفَهِرُّ من السحاب  الذي يَغْلُظُ ويَسْوَدُّ ويركب بعضُه والمُكْرَهِفُّ مثله  وكلُّ مُتَراكِبٍ  مُكْفَهِرّ  ووجه قليل اللحم غليظ الجلد لا يَسْتَحِي من شيء  وقيل  هو العَبُوسُ  ابن مسعود  إِذا لقيت الكافر فالْقَه بوجه مُكْفَهِرّ أَي بوجه طَلاقةَ فيه  يقول  لا تَلْقَه بوجه مُنْبَسِط  وفي الحديث الُقَوُا المُخالِفِين بوجه مُكْفَهِرٍّ أَي عابس قَطوبٍ  وعامٌ  ويقال  رأَيته مُكْفَهِرَّ الوجه  وقد اكْفَهَرَّ الرجلُ  واكْفَهَرَّ النجم إِذا بدا وَجْهُه وضوءُه في شدة ظلمة حكاه ثعلب ؛ وأَنشد  أَدْجَى [واكْفَهَرَّ]تْ نُجومُه  الأَفْراطِ هامٌ جواثِمُ لغة في المُكْفَهِرّ  وفلان مُكْفَهِرُّ الوجه إِذا إِلى الغُبْرة مع الغِلَظ ؛ قال الراجز  عَذْراءَ في الغُطَاطِ قائِم الفُسْطاطِ ذي حَطاطِ  فلان مُكْفَهِرٌّ أَي منقبض كالح لا يُرَى فيه أَثرُ بِشْرٍ  وجَبَلٌ مُكْفَهِرٌّ  صلب شديد لا يناله حادِثٌ  الصُّلْبُ الذي لا تغيره الحوادث 
كمر,16, الكَمَرَةُ كَمَرٌ والمَكْمُور كَمَرَته والمَكْمُورُ الكَمَرَة كِمِرَّى الكَمَرَةِ كَمَرَةً كامَرَه الكَمَرَة لَكَمَرونا مَكْمُورَة مِكْمارٌ والكِمِرَّى الكِمِرَّى,3,no vowel, *كمر*	 [[الكَمَرَة]]ُ  رأْس الذكر  والجمع كَمَرٌ  [والمَكْمُور] من الرجال  الخاتنُ طَرَفَ [كَمَرَته]  وفي المحكم  الذي أَصاب الخاتنُ [والمَكْمُور]ُ  العظيم [[الكَمَرَة]]  وهم المَكْمُوراء  ورجل [كِمِرَّى] ضخم [[الكَمَرَة]]ِ  مِثالُ الزِّمِكَّى   نَظَرا أَيُّهما أَعظمُ كَمَرَةً  وقد [كامَرَه] غلبه بعِظَمِ [[الكَمَرَة]] ؛ قال  شَيْخُنا عَبَّادُ  أَو لَكادُوا [لَكَمَرونا] اليومَ أَو لكادوا  وامرأَة [مَكْمُورَة]  منكوحة  البُسْرِ  ما لم يُرْطِبْ على نخله ولكنه سقط فأَرْطَبَ في قال ابن سيده  وأَظنهم قالوا نخلة مِكْمارٌ  [والكِمِرَّى]  قال  في عِيرها [الكِمِرَّى] موضع ؛ عن السيرافي 
كمتر,4, الكَمْتَرَةُ الكَمْتَرَةُ الكُماتِرا وكَمْتَر,4,no vowel, *كمتر*	 الكَمْتَرَةُ  مِشْيَةٌ فيها تَقارُبٌ مثل الكَرْدَحَة  ويقال  بمعنى  وقيل  الكَمْتَرَةُ من عَدْوِ القصير المجتهدِ في عَدْوِه ؛ قال الشاعر  الكَوَأْلَلَ [الكُماتِرا]  و يَكْبُو عاثِرا والسقاءَ  ملأَه  [وكَمْتَر] القربة  سَدَّها بوِكائه   الصُّلْبُ الشديد مثل الكُنْدُرِ والكُنادِر 
كمثر,8, الكَمْثَرةُ كُمَيْمِثْرةٌ كُمَيْمِثْراة كُمَيْمِثْرة الكُمَّثْرى الكَمْثَرة الكُمَّثْرَى وكُمَيْمِثْراة,4,no vowel, *كمثر*	 [الكَمْثَرة]ُ  فِعْلٌ مُمات  وهو تداخل الشيء بعضه في بعض  معروف من الفواكه هذا الذي تسميه العامة الإِجَّاصَ  مؤنث لا قال ابن مَيَّادَةَ  يَزِيدُ الحَلْقَ ضِيقاً  أَم تِينٌ نَضِيجُ   وتصغيرها [كُمَيْمِثْرة]ٌ  وحكى ثعلب في تصغير [كُمَيْمِثْراة] ؛ قال ابن سيده  والأَقيس [كُمَيْمِثْرة] كما قدّمنا  القصير  قال الأَزهري  سأَلت جماعة من الأَعراب عن [الكُمَّثْرى]  ابن دريد  [الكَمْثَرة] تداخلُ الشيء بعضه في بعض واجْتِماعُه  فإِن يكن [الكُمَّثْرَى] عربيّاً فمنه اشتقاقه ؛ التهذيب  وتصغيرها [وكُمَيْمِثْراة]  وأَنشد بيت ابن ميادة  الحَلْقَ ضِيقاً
كمعر,1, كَمْعَرَ,4,no vowel, *كمعر*	 كَمْعَرَ سنامُ البعير  مثل أَكْعَرَ 
كنر,8, الكِنَّارَةُ الكِنَّارُ والكِنَّاراتُ والكِنَّارات الكَنانِيرُ كِنَّارَة ومُكَنْوِرٌ ومُكَنِّر,3,no vowel, *كنر*	 الكِنَّارَةُ  وفي المحكم  الكِنَّارُ الشُّقَّة من ثياب دَخيلٌ  وفي حديث معاذ  نهى رسول الله  صلى الله عليه وسلم  عن لُبْسِ هو شُقة الكتان ؛ قال ابن الأَثير  كذا ذكره أَبو موسى  سيده  [والكِنَّارات]ُ يختلف فيها فيقال هي العيدان التي يضرب ويقال هي الدُّفُوف ؛ ومنه حديث عبد الله بن عمرو بن العاص  رضي الله إِن الله تبارك وتعالى أَنزَلَ الحقَّ ليُذْهِبَ به الباطل اللَّعِبَ والزَّفْنَ والزَّمَّاراتِ والمَزاهِرَ [والكِنَّارات]  وفي صلى الله عليه وسلم  في التوراة  بعثتك تمحو المَعازِفَ هي  بالفتح والكسر  العيدان  وقيل البَرابِطُ  وقيل الطُّنْبُورُ   كان ينبغي أَن يقال الكِرانات  فقدّمت النون على الراء  وأَظن الكِرانَ فارسيّاً معرّباً  قال  وسمعت أَبا نصر يقول  بالعُود  سميت به لضربها بالكِرانِ ؛ وقال أَبو سعيد الضرير   جمع كِبارٍ  وكبار جمع كَبَرٍ  وهو الطبل كجَمَل وجِمال ومنه حديث عليّ  عليه السلام  أُمِرنا بكسر الكُوبَةِ  ابن الأَعرابي  الكَنانِيرُ واحدتها [كِنَّارَة]  قال قوم   ويقال  هي الطنابير  ويقال الطُّبُول  ترجمة قنر  رجل مُقَنْوِرٌ ومُقَنِّرٌ ومُكَنْوِرٌ [ومُكَنِّر] ضَخْماً سَمِجاً أَو مُعْتَمًّا عِمَّةً جافية 
كنبر,1, الكِنْبارُ,4,no vowel, *كنبر*	 الكِنْبارُ  حَبْلُ النَّارَجِيلِ  وهو نخيل الهند تتخذ من ليفه يبلغ منها الحبل سبعين ديناراً  الأَرْنَبَة الضخمة 
كنثر,2, كُنْثُرٌ وكُناثِرٌ,4,no vowel, *كنثر*	 رجل كُنْثُرٌ وكُناثِرٌ  وهو المجتمع الخلق 
كندر,19, الكُنْدُورُ والكُنادِرُ والكُنَيدِرُ كُنَيْدِرٌ وكُنَيْدِرٌ كُنْدُر كُنْدُر وكُنادِرٌ كُنْدُوراً كُنادِرا وكُنْدُورٌ وكُنادِرٌ كِنْدِيرَة كِنْدِيرَةٍ الكُنْدُر كَنادِرَة والكُنْدُر كُنْدُرة وكُنْدُرة,4,no vowel, *كندر*	 الكُنْدُورُ والكُنادِرُ والكُنَيدِرُ من الرجال  الغليظ القصير  ويوصف به الغليظ من حُمُر الوحش  وروى شمر لابن شميل كُنَيْدِرٌ   وكُنَيْدِرٌ تصغير [[كُنْدُر]] ؛ وحمار [[كُنْدُر]] وكُنادِرٌ  عظيم  ؛ وأَنشد للعجاج  كُنْدُوراً [كُنادِرا]  يَنْشِجُ المَشاجِرَا حمار كُدُرٌ وكُنْدُورٌ وكُنادِرٌ للغليظ  والجأْب  الغليظ  الذي يمشي مُقْطَوْطِياً  وهو ضرب من المشي سريعٌ  وقوله  أَي يصوّت بالأَشجار  وذهب سيبويه إِلى أَنه رباعي  وذهب غيره ثلاثي بدليل كَدَرَ  وهو مذكور في موضعه  وقال أَبو عمرو  [كِنْدِيرَة] ؛ وأَنشد  [كِنْدِيرَة]ٍ عَجَنَّسا  به تَمَرَّسا  إِلا أَدِيماً أَمْلَسا  [الكُنْدُر] الشديد الخَلْقِ  وفِتْيانٌ [كَنادِرَة]  [والكُنْدُر]  وفي المحكم  ضَرْبٌ من العِلْكِ  الواحدة [كُنْدُرة]  الأَرض  ما غَلُظ وارتفع  [وكُنْدُرة] البازي  مَجْثِمُه الذي من خَشَب أَو مَدَر  وهو دخيل ليس بعربي  وبيان ذلك أَنه لا كلمة عربية حرفان مثلان في حشو الكلمة إِلا بِفَصْلٍ لازم ونحوه ؛ قال أَبو منصور  قد يلتقي حرفان مثلان بلا فصل آخر الاسم ؛ يقال  رَمادٌ رِمْدَِدٌ وفرس سُقْدُدٌ إِذا كان والخَفَيْدَدُ  الظلم  وما لَهُ عُنْدُدٌ  وقال المبرد  ما كان من جنس واحد فلا إِدغام فيها إِذا كانت في ملحقات الأَسماء لأَنها مقادير ما أُلحقت به نحو  قَرْدَدٍ ومَهْدَدٍ لأَنه ملحق وكذلك الجمع نحو قَرادِدَ ومهادِدَ مثل جَعافِرَ  فإِن لم يكن ملحقاً نحو أَلَدّ وأَصَمّ  ضرب من حساب الروم  وهو حساب النجوم  اسم  مثل به سيبويه وفسره السيرافي 
كنعر,3, الكَنْعَرَةُ كناعِرُ كَنْعَرَ,4,no vowel, *كنعر*	 الكَنْعَرَةُ  الناقة العظيمة الجسيمة السمينة  وجمعها كناعِرُ  كَنْعَرَ سَنامُ الفصيل إِذا صار فيه شحم  وهو مثل أَكْعَرَ 
كنهر,6, الكَنَهْوَرُ الكَنَهْوَر الكَنَهْورا كَنَهْوَرِ كَنْهَرَةُ والكَنَهْوَرُ,4,no vowel, *كنهر*	 [الكَنَهْوَر]ُ من السحاب  المتراكبُ الثخين ؛ قال الأَصمعي وغيره  من السحاب أَمثالُ الجبال ؛ قال أَبو نُخَيْلَةَ  من أَعقاب السُّمِيّ الشطر لا وزن له معروف   وقيل  [الكَنَهْوَر] السحاب المتراكم ؛ قال ابن دُهْمُ الرِّبابِ  وخَلْفَهُ الغَمامَ [الكَنَهْورا] علي  عليه السلام  وَمِيضُه في كَنَهْوَرِ رَبابه ؛ العظيم من السحاب  والرَّبابُ الأَبيضُ منه  والنون والواو زائداتان   مُسِنَّة  وقال في موضع آخر  كَنْهَرَةُ موضع جبلين فيها قِلاتٌ يملؤها ماءُ السماء  والكَنَهْوَرُ منه
كهر,20, كَهَرَ كَهْرِ وكَهَرَ يَكْهَرُ كَهْراً كَهْرُ وكَهَرَه يَكْهَرُه كَهْراً والكَهْرُ كَهْرا الكَهْرُ وكَهَرَه تَكْهَرْ كَهَرني يُكْهَرون كُهْرورَةٍ والكَهْرُ والكَهْرُ الكَهْرُ,3,no vowel, *كهر*	 كَهَرَ الضُّحى  ارتفع ؛ قال عَدِيُّ بن زيد العَبَّادي  أَزْوادِنا  من غيرِ عَدَمْ في كَهْرِ الضُّحى  ذو لَحْمٍ زِيَمْ لا يحمل معه زاداً في طريقه ثقة بما يصيده بمُهرِه  والعانة  الوحش  والأَحقب  الحمار الذي في حِقْوَيْهِ بياض  ولحم زِيَمٌ  ليس بمجتمع في مكان  وكَهَرَ النهارُ يَكْهَرُ [كَهْرا]ً  ارتفع  الأَزهري  كَهْرُ النهارِ ارتفاعُه في شدة الحر  الضحك واللهو  [وكَهَرَ]ه [يَكْهَرُ]ه [كَهْرا]ً  زَبَرَهُ عابسٍ وانْتَهره تَهاوناً به  والكَهْرُ  الانْتِهارُ ؛ قال ابنُ  ثَمَّ [كَهْرا]  لو يُلاقي عَهْرا الكَهْرُ الانْتِهارُ  [وكَهَرَ]ه وقَهَره بمعنى  وفي قراءة عبد الله  رضي الله عنه  فأَما اليتيم فلا تَكْهَرْ ؛ وزعم يعقوب أَن كافه قاف تَقْهَرْ  وفي حديث مُعَاوية بن الحَكَمِ السّلَمِيّ أَنه قال  مُعَلِّماً أَحْسَنَ تعليماً من النبي  صلى الله عليه وسلم  وأُمي ما [كَهَرني] ولا شَتَمَني ولا ضَرَبني  وفي حديث المَسْعى  لا يُدَعُّون عنه ولا [يُكْهَرون] ؛ قال ابن الأَثير  هكذا يروى الغريب وبعض طرق مسلم  قال  والذي جاء في الأَكثر يُكْرَهُون من الإِكراه   عابس  وقيل قبيح الوجه  وقيل  ضحَّاك لعَّاب  وفي أَي انْتِهارٌ لمن خاطبه وتعبيس للوجه ؛ قال زَبْدُ الخيل  كُهْرورَةٍ غيرَ أَنَّني  أُولى المُغِيرَةِ  أَعْبَسُ القَهْرُ  والكَهْرُ  عُبُوسُ الوجه  والكَهْرُ  الشَّتْمُ ؛ الكَهْرُ المُصاهَرة ؛ وأَنشد  عند بابِ الأَمِير  ويُقْضى لها 
كور,97, الكُورُ كُورٍ تكرّر كُورُها الكُورُ كُورَ للكُورِ المَكْوَرُ مَكْوَرا مُكْوَرِّه والكَوْرُ كَوْرٌ والكَوْرُ والكَوْرُ والكَوْرُ الكَوْرُ كَوَّرْتُها تَكْوِيراً كَوْرٌ وتكْوِيرُ كَوْرُها وكارَ يَكُورُها كَوْراً مَكُورُ والمِكْوَرُ والمِكْوَرَةُ والكِوارَةُ الكَوْرِ كَوْرِ كَوْرُ الكَوْرِ تَكْوِير وتَكْوِيرُه والكِوارَةُ الكَوْر كَوْرِ والكِوارُ وتَكْوِيرُ ويُكَوِّرُ تَكْوِيرِ وكُوِّرَتِ كُوِّرَتْ كُوِّرَت كُرْتُ وكَوَّرْتُها تَكْوِير كُوِّرَتْ كُوِّرَتْ الكُورَةُ كُوَرٌ كارها كَوْراً والكارَةُ وكارةُ يُكَوِّر وكوّر الكارةُ وتَكْوِيرُ فكَوَّره فكَوّرَه مُكَوَّرَا تكَوَّر التَّكْوِير والاكتيارُ والاكْتِيار وكارَ واسْتَكار والكِيار والكَيِّر يَتَكايرانِ يَكِير كارَ يَكِيرُ واكْتار واكْتارَتِ مُكْتاراً اكْتار اكْتِياراً اكْتِياراً واكْتار والكُورُ كُوَّارة كُوَارة والكِوَار والكِوارة وكُوَّارة كُور كَوْراً والكَوْر والمِكْوَرَّى مِكْوَرَّى والمَكْوَرَّى كَوَّره مَِكْوَرٌّ مَكْوَرٌّ كَوْرٌ,3,vowel, *كور*	 الكُورُ  بالضم  الرحل  وقيل  الرحل بأَداته  والجمع أَكْوار قال  الكَوْمَحَيْن إِناخَةَ الْـ  حَطَّ عنهنّ أَكْوُرا وكُؤُور ؛ قال كُثَيِّر عَزَّة  كالهَضْبِ تَخْتالُ في البُرى  وكُؤُورُها سيده  وهذا نادر في المعتل من هذا البناء وإِنما بابه الصحيح وجُنُودٍ  وفي حديث طَهْفَة  بأَكْوارِ المَيسِ تَرْتَمِي ؛ الأَكْوارُ جمع [كُور]ٍ  بالضم  وهو رَحْل الناقة بأَداته  وهو للفرس  وقد [تكرّر] في الحديث مفرداً ومجموعاً ؛ قال ابن وكثير من الناس يفتح الكاف  وهو خطأ ؛ وقول خالد بن زهير نَشَأْتُ عَسِيراً لم تُدَيَّثْ عَرِيكَتي  فوقَ ظَهْرِيَ [[كُور]ُها] لتذليل نفسه إِذ كان الكُورُ مما يذلل به البعير [كُور]َ هنالك  ويقال للكُورِ  وهو الرحل  المَكْوَرُ  وهو إِذا فتحت الميم خففت الراء  وإِذا ثقلت الراء ضممت الميم ؛ وأَنشد  حَطَّ عنهن [مَكْوَرا] وأَنشد الأَصمعي  الحََبْلَيْنِ من [مُكْوَرِّه] قَصَدَتْ لضَرِّهِ  الذي فيه الجَمْر وتُوقَدُ فيه النار وهو مبنيّ من ويقال  هو الزِّقُّ أَيضاً  [والكَوْر]ُ  الإِبل الكثيرة العظيمة  على فلان كَوْرٌ من الإِبل  [والكَوْر]ُ من الإِبل  العَطيِعُ الضَّخْم  هي مائة وخمسون  وقيل  مائتان وأَكثر  [والكَوْر]ُ  القطيع من البقر ؛  من الثِّيرانِ أَفْرَدَه   كَثْرَةُ الإِغْراءِ والطَّرَدُ أَكْوار ؛ قال ابن بري هذا البيت أَورده الجوهري  من الثِّيرانِ أَفْرَده   كَثْرَةُ الإِغراءِ والطَّرَدِ  قال  وصوابه  والطردُ  برفع الدال ؛ وأَول القصيدة  على الأَيَّامِ مُبْتَقِلٌ  رَباعٌ  سِنُّه غَرِدُ تالله لا يبقى على الأَيَّام مُبْتَقِلٌ أَي الذي يَرْعى البقل  الأَسْوَدُ  والسَّراةُ  الظَّهْر  وغَرِدٌ  مُصَوِّتٌ  ولا الثيران  وهو المُسِنّ أَفرده عن جماعته إِغراءُ الكلب به [والكَوْر]ُ  الزيادة  الليث  [الكَوْر]ُ لَوْثُ العمامة يعني إِدارتها  وقد [كَوَّرْتُها] تَكْوِيراً  وقال النضر  كل دارة من العمامة وكل دَوْرٍ كَوْرٌ  وتكْوِيرُ العمامة  [[كَوْرُ]ها]  وكارَ الرأْس يَ[[كُور]ُها] كَوْراً  لاثَها عليه وأَدارها ؛ قال أَبو وصُرَّادِ غَيْمٍ لا يزالُ  كأَنه الجِبالِ مَ[كُور]ُ  والمِكْوَرُ والمِكْوَرَةُ والكِوارَةُ  العمامةُ  نعوذ بالله من الحَوْرِ بعد [الكَوْر]ِ  قيل  الحَوْرُ النقصان والرجوع  الزيادة  أُخذ من كَوْرِ العمامة ؛ يقول  قد تغيرت حاله ينتقض كَوْرُ العمامة بعد الشدّ  وكل هذا قريب بعضه من بعض  وقيل  العمامة والحَوْرُ نَقْضُها  وقيل  معناه نعوذ بالله بعد الاستقامة والنقصان بعد الزيادة  وروي عن النبي  صلى الله  أَنه كان يتعوّذ من الحَوْر بعد [الكَوْر]ِ أَي من النقصان بعد وهو من [[تَكْوِير]] العمامة  وهو لفها وجمعها  قال  ويروى بالنون  زرع الجنة  فيبادِرُ الطَّرْفَ نَباتُه واستحصادُه [[وتَكْوِيرُ]ه] وإِلقاؤه  خرقة تجعلها المرأَة على رأْسها  ابن سيده  والكِوارَةُ لوث على رأْسها بخمارها  وهو ضَرْبٌ من الخِمْرَةِ ؛ عَسْراءُ حينَ تَرَدَّى من تَفَحُّشِها  من بَغْيِها مَيَلُ الأَصْمَعِيُّ لبعض الأَغْفال  ملاث [الكَوْر] سيده  يجوز أَن يعني موضع كَوْرِ العمامة  والكِوارُ شيء يتخذ للنحل من القُضْبان  وهو ضيق الرأْس  والنهار  أَن يُلْحَقَ أَحدُهما بالآخر  وقيل  والنهار تَغْشِيَةُ كل واحد منهما صاحبه  وقيل  إِدخال كل واحد صاحبه  والمعاني متقاربة ؛ وفي الصحاح  وتَكْوِيرُ الليل على إِياه  ويقال زيادته في هذا من ذلك  وفي التنزيل العزيز  على النهار ويُكَوِّرُ النهارَ على الليل ؛ أَي يُدْخِلُ هذا  وأَصله من [[تَكْوِير]]ِ العمامة  وهو لفها وجمعها  وكُوِّرَتِ جُمِعَ ضوءُها ولُفَّ كما تُلَفُّ العمامة  وقيل  معنى [كُوِّرَت]ْ وهو بالفارسية « [كُور]ْبِكِرْ » وقال مجاهد  [كُوِّرَت] اضمحلت ويقال  كُرْتُ العمامةَ على رأْسي أَ[[كُور]ُها] [وكَوَّرْتُها] لففتها ؛ وقال الأَخفش  تُلَفُّ فَتُمْحَى ؛ وقال أَبو عبيدة  [[تَكْوِير]] العمامة تُلَفُّ فَتُمْحَى  وقال قتادة  [كُوِّرَت]ْ ذهب وهو قول الفراء  وقال عكرمة  نُزِعَ ضوءُها  وقال مجاهد   وقال الرَّبيعُ بن خَيثَمٍ  [كُوِّرَت]ْ رُميَ بها  ويقال  إِذا طرحته حتى يَسْقُطَ  وحكى الجوهري عن ابن عباس   وفي الحديث  يُجاءُ بالشمس والقمر ثَوْرَيْنِ النار يوم القيامة أَي يُلَفَّانِ ويُجْمَعانِ ويُلْقَيانِ والرواية ثورين  بالثاء  كأَنهما يُمْسَخانِ ؛ قال ابن الأَثير  وقد  وهو تصحيف  الكُورَةُ المدينة والصُّقْعُ  والجمع كُوَرٌ  ابن سيده  البلاد المِخْلافُ  وهي القرية من قُرَى اليمن ؛ قال ابن دريد  عربيّاً  الحالُ الذي يحمله الرجل على ظهره  وقد [كارها] كَوْراً والكارَةُ  عِكْمُ الثِّياب  وهو منه  وكارةُ القَصَّار من ذلك  لأَنه [يُكَوِّر] ثيابه في ثوب واحد ويحمِلها فيكون بعضُها على [وكوّر] المتاعَ  أَلقى بعضه على بعض  الجوهري  الكارةُ ما يُحمل على الثِّياب  وتَكْوِيرُ المتاع  جمعُه وشدّه  سُفُن مُنحدِرة فيها طعام في موضع واحد  وضربه [فكَوَّره] أَي وكذلك طعنه [فكَوّرَه] أَي أَلقاه مجتمعاً ؛ وأَنشد أَبو عبيدة  الرَّأْسِ  والنَّقْعُ ساطِعٌ  لليَدَيْنِ [مُكَوَّرَا] أَي سقَط  وقد [تكَوَّر] هو ؛ قال أَبو كبير الهذلي  المَعارِي  بينهم المَزادِ الأَثْجَلِ [التَّكْوِير] الصَّرْع  ضرَبه أَو لم يضربْه  والاكتيارُ  صرعُ على بعضٍ  [والاكْتِيار] في الصِّراع  أَن يُصرَع بعضه على بعض  التَّقَطُّر والتَّشَمُّر  وكارَ الرجلُ في مشْيته [واسْتَكار]  أَسْرع  [والكِيار]  رَفْع الفَرس ذنبه في حُضْره ؛ [والكَيِّر]  فعل ذلك  ابن بزرج  أَكارَ عليه يضربه  وهما يَتَكايرانِ  وفي حديث المُنافق  [يَكِير] في هذه مرّة وفي هذه مرّة أَي يجري  كارَ الفرسُ [يَكِير]ُ إِذا جرى رافعاً ذنبه  ويروى يَكْبِنُ  [[واكْتار]] رفع ذنَبه في عَدْوِه  [[واكْتار]]َتِ الناقة  شالت بذنَبها عند قال ابن سيده  وإِنما حملنا ما جُهل من تصرّفه من باب الواو لأَن عين  وانقلاب الأَلف عن العين واواً أَكثر من انقلابها عن ويقال  جاء الفرس مُكْتاراً إِذا جاء مادّاً ذنبه تحت عَجُزِه ؛ قال ثوراً  من يَدَيْ قِبْطِيَّة  لَهِقاً ومُنْتَقِبُ هو من [اكْتار] الرجلُ اكْتِياراً إِذا تعمَّم  وقال الأَصمعي  اكْتِياراً إِذا شالت بذنَبها بعد اللِّقاح  [[واكْتار]] الرجل إِذا تهيأَ لِسبابه  وقال أَبو زيد  أَكَرْت على الرجل إِذا استذللته واستضعفته وأَحَلْت عليه إِحالة نحو والكُورُ  بناء الزَّنابير ؛ وفي الصحاح  موضِع الزَّنابير  الخَلايا الأَهْلِيَّة ؛ عن أَبي حنيفة  قال  وهي الكَوائر أَيضاً على ؛ قال ابن سيده  وعندي أَن الكَوائر ليس جمع [كُوَّارة] إِنما [كُوَارة]  فافهم  [والكِوَار] [والكِوارة]  بيت يُتَّخذ من قُضبانٍ للنحل تُعَسِّلُ فيه  الجوهري  [وكُوَّارة] النحل عسلها في وفي حديث عليّ  عليه السلام  ليس فيما تُخْرِج أَكْوارُ النَّحْل واحدها [كُور]  بالضم  وهو بيت النحل والزَّنابير ؛ أَراد أَنه ليس في  كَوْراً  حفرتُها  [والكَوْر]  جبال معروفة ؛ قال الراعي   إِذا اغْبَرَّتْ مَناكِبُه  عن مَرْوانَ مُعْتَزَلُ  بفتح الكاف  موضع ؛ عن كُراع  [والمِكْوَرَّى]  القصير ورجل [مِكْوَرَّى] أَي لئيم  [والمَكْوَرَّى]  الرَّوْثة العظيمة  صفة  فسرها السيرافي بأَنه العظيم رَوثَةِ الأَنف  وكسر الميم  مأْخوذ من [كَوَّره] إِذا جَمعه  قال  وهو مَفْعَلَّى  بتشديد لأَن فَعْلَلَّى لم يَجِئ  وقد يحذف الأَلف فيقال مَِكْوَرٌّ  كل ذلك بالهاء ؛ قال كراع  ولا نظير له  ورجل مَكْوَرٌّ  فاحش عنه  قال  ولا نظير له أَيضاً  ابن حبيب  كَوْرٌ أَرض باليمامة 
كير,14, الكِيرُ كِيرُ الكُورُ الكِير وكِيَرة الكِيرانِ كِيراً كيران الكِيران الكُور وكِير وكِير يتكايران وكِير,3,vowel, *كير*	 [الكِير]ُ  كِيرُ الحدّاد  وهو زِقّ أَو جلد غليظ ذو حافاتٍ  وأَما الطين فهو [الكُور]ُ  ابن سيده  [الكِير] الزِّقّ الذي يَنْفُخ فيه والجمع أَكْيارٌ [وكِيَرة]  وفي الحديث  مثَلُ الجلِيس السَّوْء  هو من ذلك ؛ ومنه الحديث  المدينة كالكِيرِ تَنفي خَبَثها ؛ ولما فسر ثعلب قول الشاعر  دُغماً قِباحاً  كأَنها  ضخامَ الأَرانِب مَقادِيم [الكِيران]ِ تسودُّ من النار  فكسَّر كِيراً على [كيران]  بمعروف في كتب اللغة ؛ إِنما [الكِيران] جمع [الكُور]  وهو الرّحْل  إِنما قال مَقادِيم الأَكْيار  [[[وكِير]]]  بلد ؛ قال عروة بن إِذا حَلَّتْ بأَرض بني عليٍّ  إِمَّرَة [[[وكِير]]]  أَكارَ عليه يضربه  وهُما [يتكايران] ؛ بالياء  [[[وكِير]]]  اسم جبل 
