Root,No of derevatives found,derevatives found,Root Length,Has Vowel,Full Text
هذرب,2, الهَذْرَبَةُ الهذربة,4,no vowel,*هذرب*	 الـهَذْرَبَةُ  1  قوله « [الهذربة] » قال في التكملة  هي لغة في الهذرمة  كثرةُ الكلام في سُرْعة
هأن,10, المُهْوَأَنُّ هأَن مُهْوَأَنٌّ ومُهْوَأَنّ مُهْوَأَنّ المُهْوَأَنّ المُهْوَِأَنُّ المُهْوَئِنّ المُهْوَأَنُّ واهْوَأَنَّتِ,3,vowel, *هأن*	 المُهْوَأَنُّ  المكانُ البعيد  وهو مثال لم يذكره سيبويه  قال ابن لم يذكر الجوهري ترجمة [هأَن]  وقد جاء منه مُهْوَأَنٌّ  للصحراء ووزنه مُفْوَعَلٌّ ؛ قال  وذكره الجوهري في فصل هوأَ  وهو غلط  شمر  ومُهْوَأَنّ ؛ وأَنشد  بالدَّبى مَدْبُوشِ  والوَهْدَةُ مُهْوَأَنّ  قال  وهي بطون الأَرض وقَرارُها  الشِّعابُ المُهْوَأَنّ  ولا يكون المُهْوَِأَنُّ في الجبال ولا في في الرمال  ليس المُهْوَئِنّ إِلا من جَلَد الأَرض وبطونها  واحد  وخُبُوت الأَرضِ  بطونُها ؛ قال الكميت  عنه الناسُ  رَبْرَبه فَمَرْمِيٌّ ومُحْتَبَلُ المُهْوَأَنُّ ما اطْمَأَنَّ من الأَرض واتسع  واهْوَأَنَّتِ اطمأَنت في سَعة ؛ قال رؤبة  سَوْءُ الرَّعْيِ والنَّتاجِ ذي لَمَاجِ بِحَلٍ وعاجِ 
هبن,1, الهَبُونُ,3,no vowel, *هبن*	 أَبو عمرو  الهَبُونُ ويقال  الهَبُورُ  بالراء  العنكبوت 
هتن,25, هَتَنَتِ تَهْتِنُ هَتْناً وهتوناً وهَتناناً وتَهْتاناً الهَتَنان هَتُون هَتُون هاتنٌ هُتُن وهَتُوناً هُتُنٌ وهُتَّنٌ هاتِنٍ هاتِنَة والتَّهْتانُ التَّهْتانُ تَهْتانا هَتَنَ يَهْتِنُ هَتْناً وهُتُوناً وتَهْتاناً هَتُونُ,3,no vowel, *هتن*	 [هَتَنَ]تِ السماء تَهْتِنُ هَتْناً وهتوناً وهَتناناً وتَهْتاناً صَبَّتْ  وقيل  هو من المطر فوق الهَطْلِ  وقيل  [الهَتَنان] الدائم  ومطر [[هَتُون]]  هَطُولٌ  وسحابة [[هَتُون]] وسحاب هاتنٌ  والجمع [هُتُن] مثل عَمُود وعُمُد  قال ابن بري  صوابه مثل لأَن عَمُوداً اسم وهَتُوناً صفة  وسحائب [هُتُن]ٌ وهُتَّنٌ  على هاتِنٍ أَو [هاتِنَة]  لأَن فُعَّلاً لا يكون جمع والتَّهْتانُ  نحو من الدِّيمةِ ؛ وأَنشد أَبو زيد  نَضْحُكَ بالمَشافِرِ  يومٍ ماطِرِ  التَّهْتانُ مطرُ ساعةٍ ثم يفتر ثم يعود ؛ وأَنشد للشماخ  دِيمةً [تَهْتانا]  يَمْلأُ القُرْيانا هَتَنَ المطرُ والدمع يَهْتِنُ هَتْناً وهُتُوناً وتَهْتاناً وعين [[هَتُون]]ُ الدَّمْع 
هجن,106, الهُجْنة والهَجِينُ بهَجينٍ هُجُنٌ وهُجْنانٌ ومَهاجِينُ مَهاجِن ومَهاجنة هَجِينُ هَجينة هُجْن وهِجانٍ وهَجانة وهِجانة وهُجُونة الهَجِين هَجين هُجْنٌ هَجِين الهُجْنة هَجِين الهجين هُجْنٌ والهِجانُ هِجانٌ هِجانٌ والهِجانُ وهِجانٍ هِجانٍ هِجانٍ هِجانٌ مُهَجَّنةٍ بمُهَجَّنة هِجانٌ هِجانٌ والهِجانُ هجان هَجِينٌ وهُجْنٍ هِجان هُجْنٍ الهجانة هِجانٌ هِجانٌ وهِجانُه هِجانٌ الهِجَانة هَجِينَ والهُجْنةُ هجيناً الهُجْنة الهُجْنَة والهِجانُ والهِجان هِجانُه الهِجانِ هِجان والهِجانُ هِجانُ الهِجانُ هِجاناً الهاجِنُ الهاجن الهاجِنُ الهاجنُ هَجَنَتْ تَهْجُنُ هِجاناً تَهْجُنُ والهاجِنُ مُهَجَّنة الهِجَانِ الهِجانِ الهِجانِ الهِجانُ والهِجانُ هِجانٍ وهُجُن والهِجَانةُ هِجانٌ هِجانٌ الهجانُ هَجَّنه هجيناً مُهَجَّنةٍ والهاجنُ وهُجنة بالهُجْنَة الهَجينِ والهاجِنُ هَجَنَتْ لهُجْنَةً هُجْنةً هِجانٌ والهاجِنُ الهِواجِنُ الهاجن والهاجِنَةُ والمُهْتَجِنَةُ الهاجنُ هاجن واهْتُجِنَتِ والمُهْتَجِنة الهاجن والمُهْتَجِنة الهاجِنُ,3,no vowel, *هجن*	 [[[الهُجْنة]]] من الكلام  ما يَعِيبُك  والهَجِينُ  العربيّ ابنُ الأَمة  وقيل  هو ابن الأَمة الراعية ما لم تُحَصَّنْ  فإِذا الولد بهَجينٍ  والجمع هُجُنٌ وهُجَناء وهُجْنانٌ ومَهاجِينُ قال حسان  إِذا نُسِبوا  عَبيدٌ الزِّنادِ الزناد  وقيل  رِخْوُو الزناد  قال ابن سيده  وإِنما [مَهاجِن] [ومَهاجنة] إِنهما جمع [[هَجِين]]ُ مسامحةً  وحقيقته أَنه من باب  والأُنثى [هَجينة] من نسوة [هُجْن] وهَجائنَ وهِجانٍ  وقد [وهَجانة] [وهِجانة] [وهُجُونة]  أَبو العباس أَحمد ابن يحيى [الهَجِين] الذي أَبوه خير من أُمه ؛ قال أَبو منصور  وهذا هو الصحيح  قال قيل لولد العربيّ من غير العَربية [هَجين] لأَن الغالب على أَلوان  وكانت العرب تسمي العجمَ الحمراءَ ورقابَ البياض على أَلوانهم  ويقولون لمن علا لونَه البياضُ ولذلك قال النبي  صلى الله عليه وسلم  لعائشة  يا حُمَيراء  لغلبة لونها  رضي الله عنه  قال  صلى الله عليه وسلم  بُعِثْتُ إِلى  فأَسودهم العرب وأَحمرهم العجم  وقالت العرب العجميات اللاتي يغلب على أَلوانهن البياض  [هُجْن]ٌ وهُجَناء  لغلبة أَلوانهم وإِشباههم أُمهاتهم  وفرس [[هَجِين]] بَيّنُ [[[الهُجْنة]]] يكن عتيقاً  وبِرْذَوْنَة [[هَجِين]]  بغير هاء  الأَزهري  [الهجين] من ولدته بِرْذَوْنة من حِصَانٍ عربي  وخيل [هُجْن]ٌ  [والهِجان]ُ من البيضُ الكرام ؛ قال عمرو بن كُلْثوم  أَدْماءَ بِكْرٍ  لم تَقْرأْ جَنينا ويستوي فيه المذكر والمؤنث والجمع  يقال  بعير [[هِجان]]ٌ وناقة [[هِجان]]ٌ هَجائِنُ ؛ قال ابن أَحمر  الجِمالِ أَوانَ خَفَّتْ نِعاجِ أُوارَعِينا  [والهِجان]ُ من الإِبل البيضاءُ الخالصةُ اللونِ والعِتْقِ من وهَجائن وهِجانٍ  فمنهم من يجعله من باب جُنُب ورِضاً  ومنهم تكسيراً  وهو مذهب سيبويه  وذلك أَن الأَلف في [[هِجان]]ٍ الواحد ناقةٍ كِنَازٍ ومرأَةٍ ضِنَاك  والأَلفُ في [[هِجان]]ٍ في الجمع ظِرافٍ وشِرافٍ  وذلك لأَن العرب كَسَّرَتْ فِعَالاً على كسرت فَعِيلاً على فِعَالٍ  وعُذْرُها في ذلك أَن فعيلاً أُخت أَلا ترى أَن كل واحد منهما ثلاثي الأَصل وثالثه حرف لين  وقد على المعنى الواحد نحو كَلِيبٍ وكِلابٍ وعَبِيدٍ فلما كانا كذلك وإِنما بينهما اختلافٌ في حرف اللين لا غير  قال  ذلك قربُ الياء من الأَلف  وأَنها إِلى الياء أَقرب منها إِلى كُسِّرَ أَحدهما على ما كسر عليه صاحبه فقيل ناقة [[هِجان]]ٌ وأَيْنُقٌ كما قيل ظريف وظِراف وشريف وشِرَاف ؛ فأَما قوله  عَوْهَجُ الخَلْقِ  سُرْبِلَتْ سِرْبالاً عَتِيقَ البَنائِق النَّقِيَّةَ  وقد تكون البيضاء  وأَهْجَنَ الرجلُ إِذا كثر  وهي كِرامها ؛ وقال في قول كعب  من [مُهَجَّنة]ٍ  قَوْداءُ شِمْليلُ أَراد [بمُهَجَّنة] أَنها ممنوعة من فحول الناس إِلا من فحول بلادها  وقيل  حُمِلَ عليها في صِغَرها  وقيل  أَراد من إِبل كرام  يقال  امرأَة [[هِجان]]ٌ وناقةِ [[هِجان]]ٌ أَي كريمة   هذه ناقة ضربها أَبوها ليس أَخوها فجاءَت بذكر  ثم ضربها بذكر آخر  فالولدان ابناها لأَنهما ولدا منها  وهما أَخواها لأَنهما ولدا أَبيها  ثم ضرب أَحدُ الأَخوين الأُمَّ بهذه الناقة وهي الحرف  فأَبوها أَخوها لأُمها لأَنه ولد من والأَخ الآخر الذي لم يَضْرِب عمُّها لأَنه أَخو أَبيها  وهو خالها أُمها لأَبيها لأَنه من أَبيها وأَبوه نزا على أُمه  وقال ثعلب  نصر عن الأَصمعي بيت كعب وقال في تفسيره  إِنها ناقة كريمة لشرفها  قال ثعلب  عَرَضْتُ هذا القول على ابن فخطَّأَ الأَصمعي وقال  تداخُل النسب يُضْوِي الولدَ ؛ قال  وقال جمل نزا على أُمه  ولها ابن آخر هو أَخو هذا الجمل  فوضعت ناقة الثانية هي الموصوفة  فصار أَحدهما أَباها لأَنه وطئ أُمها  أَخاها لأَن أُمها وضعته  وصار الآخر عمها لأَنه أَخو أَبيها  وصار « وصار هو خالها » كذا في الأصل والتهذيب  وهذا لا يتم م المفضل إلا أن روعي أن جملاً نزا على ابنته فخلف منها هذين كما في عبارة التهذيب السابقة  لأَنه أَخو أُمها ؛ وقال ثعلب  القول  [والهِجان]ُ  الخيار  وامرأَة [هجان]  كريمة من نسوة هَجائنَ  الحَسَبِ تُعَرِّق فيها الإِماء تَعْرِيقاً  أَبو زيد  رجل [[هَجِين]]ٌ من قوم هُجَناءَ وهُجْنٍ  وامرأَة [[هِجان]] أَي كريمة  وتكون نسوة [هُجْن]ٍ بَيِّنات [الهجانة]  ورجل [[هِجان]]ٌ  كريمُ الحَسَبِ وبعير [[هِجان]]ٌ  كريم  وقال الأَصمعي في قول علي  كرم الله هذا جَنايَ [وهِجانُه] فيه إِذ كلّ جانٍ يَدُه إِلى فيه  يعني خياره اليزيديُّ  هو [[هِجان]]ٌ بَيِّنُ [الهِجَانة]  ورجل [[هَجِين]]َ بَيِّنُ والهُجْنةُ في الناس والخيل إِنما تكون من قبل الأُم  فإِذا كان والأُم ليست كذلك كان الولد هجيناً ؛ قال الراجز  والفَلَنْقَسُ فأَيَّهُم تَلَمَّسُ من قِبَلِ الأَب ؛ الأَزهري  روى الرواةُ أَن رَوْح بن تزوَّج هندَ بنت النعمان بن بَشِير فقالت وكانت شاعرة  إلا مُهْرَةٌ عربيةٌ  تَجَلَّلَها بغْلُ مُهْراً كريماً فبالحَرَى  إقرافٌ فمن قِبَلِ الفَحْلِ « فمن قبل الفحل » كذا في التهذيب بكسر اللام وعليه ففيه أقواء  أخرى  وإن يك إقرافٌ فجاء به الفَحلُ  وهكذا ينتفي الأقواء  والإقْرافُ مُداناةُ [[[الهُجْنة]]] من قِبَلِ الأَب  قال ابن حمزة  من [الهُجْنَة]  وهي الغِلَظُ  [والهِجان]ُ الكريم مأْخوذ من وهو الأَبيض  [والهِجان]  البِيضُ  وهو أَحسنُ البياض وأَعتقه في والنساء  ويقال  خِيارُ كلِّ شيء [[هِجان]]ُه  قال  وإِنما من الإبل  وأَصلُ الهِجانِ البِيضُ  وكلُّ [[هِجان]] أَبيضُ  [والهِجان]ُ شيء  الخالصُ ؛ وأَنشد   مَنْ [[هِجان]]ُ قُرَيْشٍ  الفَتى  وأَنتَ الهِجانُ البياضَ من الأَلوان هِجاناً وكَرَماً  وفي المثل  الوَلد أَي صَغُرَتْ ؛ يضرب مثلاً للصغير يتزين بزينة وجَلَّتِ الهاجِنُ عن الرِّفْدِ  وهو القَدَح الضخم  وقال ابن جَلَّتِ العُلْبَة عن [[[الهاجن]]] أَي كَبُرَتْ ؛ قال  وهي بنتُ اللبون فتَلْقَحُ  ثم تُنْتَجُ وهي حِقَّة  قال  ولا تصلح أَن يفعل  ابن شميل  الهاجِنُ القَلُوصُ يضرب بها الجَمَلُ  وهي إبنة فتَلْقَحُ وتُنْتَجُ  وهي حِقَّةٌ  ولا تفعل ذلك إلا في سنة [[[الهاجن]]]ُ  وقد هَجَنَتْ تَهْجُنُ هِجاناً  وقد أَهْجَنَها الجملُ فأَلقحها ؛ وأَنشد  ذي صِهْركم وأَحْسِنُوا  صُغْرَى اللِّقاحِ تَهْجُنُ  « صغرى اللقاح » الذي في التهذيب  صغرى القلاص  لأَهل إمرأَته  واعْتَلُّوا عليه بصغرها عن الوطء ؛ وقال  ولَمَّا تُقْطَبِ قُطِبَتِ الجارية أَي خُفِضَت  ابن بُزُرْج  غِلْمَةٌ وذلك أَن أَهلهم أَهْجَنُوهم أَي زَوَّجُوهم صغاراً  الصغير الجاريةَ الصغيرة فيقال أَهْجَنَهم أَهْلُهم  قال  مَيْسُورها ابنة الحِقَّة  والهاجِنُ على مَعْسُورها ابنة وناقة [مُهَجَّنة]  وهي المُعْتَسَرَة  ويقال للقوم الكرام  إِنهم الهِجَانِ ؛ وقال الشماخ  قَوْمِك لم يُجارَوْا الهِجانِ  ولا الثَّمينِ وأُخْبرْتُ عن أَبي الهيثم أَنه قال الرواية الصحيحة في هذا الرِّهانِ ولا الثمين لم يُجارَوْا إلى رُبُع رِهانِهم ولا ثُمُنِه  قال  والرِّهانُ يُسْتَبَقُ إليها  يقول  مثلُ سَراةِ قومك لم يُجارَوْا إلى التي بلغوها ونالوها من المجد والشرف ولا إلى ثُمُنها ؛ وقول الهِجانِ صَلَّبَها العُضْـ الحِمَى وطُولُ الحِيالِ الهِجانُ الخِيارُ من كل شيء  [والهِجان]ُ من الإِبل  الناقة وهي الخالصة اللون والعِتْقِ من نُوق [[هِجان]]ٍ [وهُجُن]  والهِجَانةُ  ومنه قيل إبل [[هِجان]]ٌ أَي بيض  وهي أَكرم الإبل  وقال لبيد  مُتَأَبِّضاتٍ  أَصْوِرَةُ الرَّغامِ معقولاتٍ بالإباضِ  وهو العِقالُ  وفي الحديث في ذكر أَزْهَرُ [[هِجان]]ٌ ؛ الهجانُ  الأَبيض  ويقال  [هَجَّنه] أَي جعله هجيناً  الناقة أَوَّلَ ما تحمل ؛ وأَنشد ابن بري لأَوس  أَبوها من [مُهَجَّنة]ٍ  وَجْناءُ مِئْشِيرُ الهُجرة  مَرَّا بعبد يرعى غنماً فاستسقياه من اللبن فقال  لي شاةٌ تحْلَبُ غَيْرَ عَناق حملت أَوَّل الشتاء فما بها لبنٌ  فقال رسول الله  صلى الله عليه وسلم  ائتنا بها ؛ تَبَيَّنَ حملُها  والهاجنُ  التي حملت قبل وقت حملها  الكلام  ما يَلْزَمُك منه العيبُ  تقول  لا تفعل كذا فيكون عليك وقالوا  إن للعلم نَكَداً وآفة [وهُجنة] ؛ يعنون [بالهُجْنَة] ههنا وقول الأَعلم  الهَجينِ على مُنْتِنِ الجِرْمِ هنا اللئيم  والهاجِنُ  الزَّنْدُ الذي لا يُورِي بقَدحةٍ يقال  هَجَنَتْ زَنْدَةُ فلان  وإنَّ لها لهُجْنَةً شديدة ؛ وقال كانتْ زِنادُكَ هُجْنةً  خَدِّي لخَدِّكَ ضارِعُ  الزِّنادِ  تقبيحُه  وأَرض [[هِجان]]ٌ  بيضاء لينة التُّرْبِ قال  اللَّوْنِ وَسْمِيَّةِ الثَّرَى نأَتْ عنها المُؤُوجةُ والبَحْرُ  والهاجِنُ  العَناق التي تحمل قبل أَن تبلغ أَوانَ والجمع الهِواجِنُ ؛ قال  ولم أَسمع له فعلاً  وعم بعضهم به الغنم  وقال ثعلب  [[[الهاجن]]] التي حُمل عليها قبل أَن تبلغ  فلم شيئاً من شيء  والهاجِنَةُ والمُهْتَجِنَةُ من النخل  التي تحمل قال شمر  وكذلك [[[الهاجن]]]ُ  ويقال للجارية الصغيرة  [هاجن]  وقد إذا افتُرِعَتْ قبل أَوانها  واهْتُجِنَتِ الجارية إذا صغيرة  [[والمُهْتَجِنة]]  النخلة أَوَّل ما تُلْقَح  ابن سيده  « ابن سيده [[[الهاجن]]] إلخ » كذا بالأصل  والمؤلف التزم من مؤلفات المحكم وليست فيه هذه العبارة  فلعل قوله ابن سيده محرف عن ابن بدليل قوله وفي المحكم   [[والمُهْتَجِنة]] الصبية ؛ وفي المحكم  تتزوّج قبل أَن تبلغ وكذلك الصغيرة من البهائم ؛ فأَما قول جَلَّتِ الهاجِنُ عن الولد  فعلى التفاؤل 
هدن,55, الهُدْنَة انْهَدَنَ وهَدَنَه الهُدْنة والهِدَانَةُ المَهْدُونِ هُدُوناً وهِدَنَِ وهادَنه مُهادنَةً الهُدْنَة هُدْنَةٌ هُدْنَةٌ للهُدْنة هُدْنَة الهُدْنة مَهْدَنَةٌ والهُدُونُ والهُدْنَة والهُدُون هَدَنَ يَهْدِنُ هُدُوناً الهُدْنة هَدَنْتُ هُدُوناً هَدَّنْتُ يُهْدَنِ وهادَنَ هَدْناً وهَدَنَ يَهْدِنه وهَدَّنه وهُدِنَ هَدَّنتِ مُهَدَّنٌ وهَدَنَ وتَهْدِينُ والتَّهْدِينُ مَهْدُونٌ هَدَنوه والهِدانُ الهُدونُ الهِدانُ هِداناً الهِدانُ مَهْدُونٌ المَهْدُونِ الهَدْنُ المَهْدُون مَهْدُونُ لَهَيْدانٌ الهَيْدانُ والهِدَانُ الهِدانُ,3,no vowel, *هدن*	 الأَزهري عن الهَوَازنيّ  [[الهُدْنَة]] انتقاضُ عَزْم الرجل بخبر عما كان عليه فيقال انْهَدَنَ عن ذلك  [[وهَدَنَ]ه] خَبَرٌ شديداً  ابن سيده  [[[الهُدْنة]]] والهِدَانَةُ المصالحة بعد الحرب ؛ الهذلي  من قريبٍ  قيامٌ كالشُّجُوبِ الذي يُْطْمَعُ منه في الصلح ؛ قال الراجز  نَوْمَةَ [المَهْدُون]ِ هُدُوناً  سَكَنَ  وهِدَنَِ أَي سكَّنه  يتعدَّى ولا [وهادَنه] مُهادنَةً  صالحه  والاسم منهما [[الهُدْنَة]]  وفي الحديث   صلى الله عليه وسلم  ذكر الفتَنَ فقال  يكون بعدها [هُدْنَة]ٌ وجماعةٌ ؛ وتفسيره في الحديث ؛ لا ترجع قلوبُ قوم على ما كانت عليه  السكونُ بعد الهَيْج  ويقال للصلح بعد القتال والمُوادعة والكفار وبين كل متحاربين  [هُدْنَة]ٌ  وربما جعلت [للهُدْنة]  فإذا انقضت المدة عادوا إلى القتال  والدَّخَنُ قد مضى وقوله [هُدْنَة] على دَخَنٍ أَي سكونٌ  وفي حديث علي  عليه السلام  عُمْياناً في غَيْبِ [[[الهُدْنة]]] أَي ما في الفتنة من الشر ولا ما في السكون من الخير  وفي حديث مَلْغاةُ أَوّل الليل مَهْدَنَةٌ معناه إذا سَهِر أَوّلَ الليل ولَغا في الحديث لم يستيقظ في آخره أَي نومه في آخر الليل بسبب سهره في أَوّله  والمَلْغاة مَفْعَلة من اللَّغْو  [والهُدُون]ُ  السكون أَي مَظِنّة لهما « لهما » هكذا في الأصل والنهاية  [والهُدْنَة] [والهُدُون] الدَّعة والسكون  هَدَنَ يَهْدِنُ هُدُوناً  سَكَنَ  الليث  [[[الهُدْنة]]] وهو السكون  يقال منه  هَدَنْتُ أَهْدِنُ هُدُوناً إذا تتحرّك  شَمِرٌ  هَدَّنْتُ الرجلَ سَكَّنته وخَدَعْتُه كما ؛ قال رؤبة  امْرِئٍ لم يُهْدَنِ يُخْدَعْ ولم يُسَكَّنْ فيطمع فيه  وهادَنَ القومَ  وادَعهم  هَدْناً رَبَّثَهم بكلام وأَعطاهم عهداً لا ينوي أَن ؛ قال  الوالِهين صَبابةً  النائمين المَضاجعُ التسكين  وهَدَنَ الصبيَّ وغيره [يَهْدِنه] [وهَدَّنه]  سكَّنه وهُدِنَ عنك فلانٌ  أَرضاه منك الشيءُ اليسير  ويقال  هَدَّنتِ إذا أَهْدَأَته لينام  فهو مُهَدَّنٌ  وقال ابن الأَعرابي  إذا كافَّه  وهَدَنَ إذا حَمُقَ  وتَهْدِينُ المرأَة تسكينها له بكلام إذا أَرادت إنامته  والتَّهْدِينُ البُطْءُ   استقامت  النُّوقُ   وفي التهذيب مَهْدُونٌ  بليد يرضيه الكلام  والاسم  ويقال  قد [هَدَنوه] بالقول دون الفعل  والهِدانُ  الأَحمقُ الثقيل في الحرب  والجمع الهُدونُ ؛ قال رؤبة  المالَ الهِدانُ الجافي  ما عَقْلٍ ولا اصْطِرافِ عثمان  جَباناً هِداناً  الهِدانُ  الأَحمقُ الثقيل  وقيل  النَّوَّام الذي لا يُصَلِّي ولا يُبَكِّر في حاجة ؛ عن ؛ وأَنشد  الأُرْنةِ المُتَرَجْرِج  ويقال  هو مَهْدُونٌ ؛ وقال  نومةَ [المَهْدُون]ِ كل ذلك الهَدْنُ ؛ وأَنشد الأَزهري في [المَهْدُون]  مأْكولٌ حظُوظَتُها  بالأَقْوالِ مَهْدُونُ  وإنَّه عنك لَهَيْدانٌ يهابه  أَبو عبيد في النوادر  الهَيْدانُ والهِدَانُ واحد  والأَصل الهِدانُ  فزادوا الياء ؛ قال الأَزهري  وهو فَيْعالٌ مثل  النون أَصلية والياء زائدة  القليل الضعيف من المطر ؛ عن ابن الأَعرابي  وقال  هو الدَّهْنَةُ 
هرن,5, هرن هَرُون الهَيْرُون الهَرْنَوَى الهَرْنَوِيُّ,3,no vowel, *[هرن]*	 الأَزهري  أَما [هرن] فإِني لا أَحفظ فيه شيئاً  وإسم [هَرُون] اشتقاق له في العربية  وقال القتيبي  [الهَيْرُون] ضرب من التمر جيد  ابن سيده  [الهَرْنَوَى] نبت  قال  لا أَعرف هذه الكلمة ولم النبات  وأَنكرها جماعة من أَهل اللغة  قال  ولستُ أَدري أَم الهَرْنَوِيُّ  على لفظ النسب 
هرشن,1, هِرْشِنٌ,4,no vowel, *هرشن*	 بعير هِرْشِنٌ  واسع الشِّدْقَيْنِ  قال ابن سيده  قال ابن دريد ما صحته 
هزن,11, هَوْزَنُ هَوْزَنٍ هَوَازِنُ هَوْزَن وهَوازِنُ هَوَازِنُ هَوَازِنُ هَوازِنَ هَوازِنيٌّ هَوْزَنِيٌّ الهَوَازِنِيّينْ,3,no vowel, *هزن*	 [هَوْزَن]ُ  إسم طائر ؛ قال الأَزهري  جمعه [هَوْزَن]ٍ  بطنٌ من ذي وروى الأَزهري عن الأَصمعي في كتاب الأَسماء قال  هَوَازِنُ جمع وهو حَيّ من اليمن يقال لهم [هَوْزَن] ؛ قال  وأَبو عامر  وهَوازِنُ  قبيلة من قيس وهو هَوَازِنُ بن منصور بن عِكرمة بن قيس عَيْلانَ  قال الأَزهري  هَوَازِنُ لا أَدري مِمَّ والنسب إلى هَوازِنَ القبيلة هَوازِنيٌّ  لأَنه قد صار اسماً للحيّ  [هَوْزَن]ِيٌّ لكان وجهاً ؛ وأَنشد ثعلب  فَرَّ يومَ صِفِّينْ  عَكّاً والأَشْعَرِيِّينْ بالطَّائِيِّينْ  الهَوَازِنِيّينْ
هفن,1, الهَفْنُ,3,no vowel, *هفن*	 أَهمله الليث  وقال ابن الأَعرابي  الهَفْنُ المطر الشديد 
هكن,1, تَهَكَّنَ,3,no vowel, *هكن*	 تَهَكَّنَ الرجل  تَنَدَّمَ 
هلن,1, الهِلْيَوْنُ,3,no vowel, *هلن*	 الهِلْيَوْنُ  نَبْتٌ 
