Root,No of derevatives found,derevatives found,Root Length,Has Vowel,Full Text
شع,10, والشعيع والشعاع والشع والشعاع شَعاعُه؛ وشُع وشُعاعته شُعاعُها شَعاعاً وشَع,2,no vowel, *شع*	 شَعْشَعْتُ الشرابَ مزجته [وشَع]ْشعْتُ القومَ سقيتهم لبناً شَعْشاعاً ومُشَعْشَعاً وهو ما أخِذ طعماً فَصُب عليه ماء وظل مَشَعْشَع فيه خَلَل وتَشَعْشَع ضعف بصرهُ [والشع]ْشاع [والشع]ْشَعان الطويل العنق من كل شيء والحَسَن [والشع]ْشاع [والشعيع] [[والشعاع]] [والشع] المتفرق [[والشعاع]] انتشار الدم وشعغ الغارةَ صَبها وأشع الزرعُ خرج شَعاعُه؛ وهو سَفاه اليابس [وشُع] الشمس [وشُعاعته] واحد وأشعتْ [شُعاعُها] وتطَايَرَ القومُ شَعاعاً متفرقين [وشَع] البعيرُ ببوله وأشَع فرقه
عض,24, العِض عِضُّه عِض عِض والعُض والعُضاض عياض عُضاض عَضوض عضوض والعَضوض لَعِضاضُ وعَض عِض والتعضوض واليعضيض العَضاض العُض مَعَض عَضاضٌ وعَضوض ومَعْضوض عَضِيْضي عَضيضُه,2,no vowel, *عض*	 [العِض] الرجل السييء الخُلق والمتكبًر والشديد اللسان والبخيل والفَهِم وهو [[[[عِض]]]ُّه] أي قِرْنُه وهو [[[عِض]]] مال أي حَسَن القيام عليه وكذلك [[[عِض]]] قتال وسَفَرٍ  [والعُض] النَّوى والقتُّ والعجينُ تُعْلَفه الإبل [والعُضاض] عرنين الأنف في قول [عياض] بن درة  وألْجَمَه فأسَ الهوان فلاكَهُ وأغضى على [عُضاض] أنفٍ مُصلم وبئر [عَضوض] بعيدة القعر ضيقة؛ وقد أعَضتْ وكثيرة الماء أيضاً وقوس [عضوض] لصق وترُها بكَبدها [والعَضوض] من النساء الضيقة الفرج وانه لَعِضاضُ عيش أي صبور على الشدَّة فيه [وعَض] بكذا لَزِق به وعَلَقٌ [[[عِض]]] وثيق [والتعضوض] ضَرب من التمر وجمعه تعضوضاء  [واليعضيض]  من خيار العُشب وما بقي في الأرض إلا [العَضاض] وهو ما غَلُظ من الشجر وكذلك [العُض] وما في الأمر [مَعَض] أي مُسْتَمسك وما لنا عَضاضٌ [وعَضوض] [ومَعْضوض] أي شيء من المأكول وهو [عَضِيْضي] وأنا [عَضيضُه] أي نختلف في الأمر ونتشاكس ضع الضعْضَعَة الخضوع والتذلل
عص,2, والعُصُص وعَص,2,no vowel, *عص*	 العُصْعُص والعُصْعوص أصل الذنَب [والعُصُص] لغة فيه ورجلٌ عصْعُص قليل الخير [وعَص] الشيءُ صَلب
صع,0,,2,no vowel, *صع*	 الصعْصَعَة التحريك والتفريق ومنه ذهبت صعاصع وصَعْصَعَ رأسَه رجلَه ودهَنه وتَصَعْصَع الرجلُ جَبًن  والصعْصَع طائر أبرش لا يقف بمكان وَصَعْصَعَ الرجلُ أقبل والصعْصَعَة نبْتٌ يُشْرت ماؤه للمشي
عس,24, العَسّ العَسَسُ وعَسْعَسَ والعَس عَسُوس وعَسْعَس وعَسْعاس عَسوس العَسَس والعِساس والعُس وعَسْعَسه وعَسْعَسُ وعَسْعَسَت والعَسُوس تَعْتَس عَسِّه عساً عَسْعَس وعَسْعَس واعْتس وعَس وَعَسَسْتُ والعَسُوس,2,no vowel, *عس*	 العَسّ نَفْضُ الليل عن أهل الريبة وبه سُمّي [العَسَس]ُ [[[وعَس]ْعَس]]َ الليلُ أقْبَلَ وأدْبَرَ مجازُه أنه رقَةٌ من الظُّلْمة [والعَس] الطلَب والذئب [عَسُوس] [[[وعَس]ْعَس]] [[وعَس]ْعاس] منه وناقةٌ [عَسوس] بينة [العَسَس] [والعِساس] أي سيئة الخُلق [والعُس] القدح الضخم وذَكَر الرجل [[وعَس]ْعَسه] حركه [[[وعَس]ْعَس]]ُ موضع [[[[وعَس]ْعَس]]َ]ت السحابة دَنَتْ من الأرض ليلاً [والعَس]ُوس الناقة القليلة الدر والتي [تَعْتَس] العظامَ وتَرْتمها وجاء به من [عَسِّه] وبسه من جَهده وجِىءْ به عساً وبَساً أي جيء به لا محالة ودارَةُ [عَسْعَس] لبني جعفر [[[وعَس]ْعَس]] جبل [واعْتس] الابلَ دخل وسطَها يمسحُ ضروعَها للدر [وعَس] علي خبرُه أبطأ وَعَسَسْتُ أصحابي أطعمتهم شيئاً يسيراً [والعَس]ُوس من النساء التي لا تبالي دُنُوَّ الرجال
سع,8, السعْسَعَة بسَعْ سَعْ وتَسَعْسَعَ وتَسَعْسَعَ وسَعْسَعَ والسَعِيع مَسْعُوع,2,no vowel, *سع*	 [السعْسَعَة] دُعاء المِعزى   بسَعْ سَعْ   والهَرَم وتَ[سَعْ]سَعَ فمُه انحسرت الشفة عن أسنانه وتَ[سَعْ]سَعَ انحطَّ وسَعْسَعَ شَعرَه رواه دهناً [والسَعِيع] زُؤان الحنطة وطعام [مَسْعُوع]
عز,29, عَز والعزة العِز والعَزَازَةُ والعَزَاز العَزَاز وعًزه واعْزِزْتُ يُعَززُ واستعزًتْ واستعز والعُزَى عَزوز العُزوز والعِزاز والعُزَيزى واستُعِز عَزاً وعَززْتُه تَعَزز عِز مَعْزوزة وعَزْ عَزْ عَزْ والعِزاز العَزيز وعَز والعَزة,2,no vowel, *عز*	 [عَز] الشيءُ قَل [والعزة] [العِز] [والعَزَاز]َةُ [والعَزَاز] والعَزاء أرض صلبة؛ وقيل ذات حجارة وقد أعَز صار في [العَزَاز] والعَزاء الشدَّة والسنة الشديدة [وعًزه] غَلَبَه واعْزِزْتُ بما أصابه عَظُمَ علي والمطر يُعَززُ الأرضَ يلُبدها [واستعز]ًتْ هي [واستعز] الرملُ تماسك [والعُزَى] بيت عبادةٍ كان بالطائف وشاةٌ [عَزوز] ضيقة الإحليل بينَة [العُزوز] [[والعِزاز]] [والعُزَيزى] والعُزَيزاء عَصَبة دقيقة في عظم الخَوْران إلى الورك [واستُ[عِز]] بالمريض وغيره غُلِبَ ومات أيضاً وهو مِغزاز المرض شديدُه وجىء به عَزاً وبَزاً أي لا محالة [وعَززْتُه] قَويته ومنه [تَعَزز] اللحمُ صَلُب ورجلٌ ومطرٌ [عِز] غالب وأرض [مَعْزوزة] [وعَز]ْ زَجْر للغنم؛ وكذلك [عَز]ْ [عَز]ْ [[والعِزاز]] جمع [العَزيز] [وعَز] عَلي حَق واشتد [والعَزة] بِنْت الظبية
زع,0,,2,no vowel, *زع*	 الزعزَعة التحريك ومنه ريح زعزاع وزَعزَع وزعزعان وا لزعازع الشدائد
عط,4, العَط عيْطْ عيْطْ والعَطَاط,2,no vowel, *عط*	 [العَط] الشق من غير بينونة والعطْعَطة  حكاية صوت المُجان إذا غلبوا فقالوا عيْطْ عيْطْ [والعَطَاط] الشجاع ويوصَف به الأسد والعُطعغط الجدْي وقيل الجَحْش
طع,0,,2,no vowel, *طع*	 الطعطَعَة حكاية صوت الَمتمطق
عد,31, العَد والمعدود والعَديد عديد وعَديد وعدادها والعِدُّ والعديد والعِد والعدد العد والعدة وعِدة وعددت عداداً وعَداً العِدَاد عِداده والعِداد عِدادَ وعِدته والعِداد والعِدد والعُد والعُدة والعَدْ عَدَة يَتعادون ويَتَعددون يَتَعادون وعدان,2,no vowel, *عد*	 [العَد] الإحصاء [والمعدود] جميعاً [والعَديد] الكثرة؛ وهذه [عديد] تلك أي مثلها في العَمر [وعَديد] القوس [وعدادها] صَوْتُها [والعِد]ُّ [والعديد] النظير ولقي القومُ أعْدادهم أي أقرانَهم [والعِد] من الرجال العِفْر [والعدد] مجتمع الماء والماء الذي له مادة أيضاً والحَسَبُ والماءُ [العد] القديم [والعدة] الجماعة [وعِدة] المرأة أيام قُرْئها [وعددت] الإبل عداداً وعَداً سَقَيْتها ثم صرفتها ليالي ويوم [العِدَاد] يوم العطاء؛ والعَرْضً ومنه [عِداده] في بني فلان أي ديوانه [[والعِداد]] الوقت وليلةٌ يُناح فيها على الميت من كل أسبوع ولا آتيكَ إلا عِدادَ القمر الثريا [وعِدته] أي مرةً في السنة [[والعِداد]] [والعِدد] اهتياج وجمع اللديغ [والعُد] - بالضم - البَثْر [والعُدة] كالأهْبَة والعَدْ [عَدَة] صوت القطا والسرعة أيضاٌ  وهم [يَتعادون] [ويَتَعددون] على كذا يزيدون وهم [يَتَعادون] أي يشتركون فيما يُعَمًلون من المكارم [وعدان] الشباب أوله
دع,8, الدع والدعاعَة والدعاع دَعْ داع داع والدعَاع دَعاعُه,2,no vowel, *دع*	 [الدع] الدفع [[والدعاع]َة] حبة سوداء ونملة سوداء وما بين النخْل إلى النخْل [والدعاع] الناعم من النَّبت ويبيسُ الشَّجر والزبل والدعْدَعَة تحريك الجُوالِق ليكتَنِز وعدْوٌ في التواءٍ وبُطء وأن تقول للعاثر دَعْ أي قُمْ فانتعشْ وأن تزجر لصغار الغنم فتقول [[داع]] [[داع]] والدعْ[[داع]] القَصير [والدعَاع] عِيَال الرجُل؛ وأدع كَثُرَ [دَعاعُه] ويقال لأم حُبَيْن [دَعْ]د
عت,3, عَت التًعَتت والعِتَات,2,no vowel, *عت*	 [عَت] كررَ القول ومنه [التًعَتت] إذا لم يستمرّ والعُتْعُت القوي من الرجال [والعِتَات] الدفاع وما زلتُ أعاتُّه
تع,3, التعْتعة والتعْتَعَة تعاتِع,2,no vowel, *تع*	 [التعْتعة] العي بالكلام وبه يُشَبه ارتطام الدابة في الوحل [والتعْتَعَة] التحريك الشديد ووقع في [تعاتِع] أي في تخليط
عظ,3, العَظ تَعِظيني عِظي,2,no vowel, *عظ*	 [العَظ] الشدة في الحرب والعظعظَة التواءُ السهْم عن الرميًة؛ والجَبانِ عن مُقاتله وتحريك الدابة بَها ومَشْيُها في ضيقٍ من نفسها فأما المثل لا [تَعِظيني] وتَعَظْعَظي فمعناه [عِظي] نفسَك
ذع,3, الذعاع وذَعَاعُ الذعاع,2,no vowel, *ذع*	 الذَّعْذعَة التحريك والتفريق ومنه [[الذعاع]]  أي الفِرَق وذَعَاعُ النخْل رديئه وقيل [[الذعاع]] ما بين النخلة إلى النخلة
عث,8, العُثَّة عِثَاثٌ وعَث عِثاثاً والعِثاث عث عُثُّ وعَثني,2,no vowel, *[عث]*	 [العُثَّة] السوسَة والمرأة المَحْقُورةوالزمنةوالعجوز والحمقاء جَمْعُها عِثَاثٌ [وعَث]َائث والعَثْعَث ظَهْر الكثيب لا نبات عليه [وعَث] عِثاثاً صوتَ [والعِثاث] الغِناء وهو [عث] مال ازاءُ مال وَسَوِيق عُثُّ غير مَلْتُوت والعَثْعَثَة التلَبُّث والإفساد؛ جميعاً [وعَث]ْعَثْتُ إليه ركَنْت [وعَث]ْعَثه الذئبُ راوغه [وعَثني] ألح علي
ثع,4, الثَّعُ ثَع وانْثع وثع,2,no vowel, *ثع*	 الثَّعُ القَيْء [ثَع] [وانْثع] جميعاً [وثع] الجُرحُ سال والثعْ[ثَع]َة غَلَبَة الثاء والعين على اللسان والثعْثع اللؤلؤ
عر,41, العَر والعُرُّ والعُرة واستعرهم وعار والعرة وعَره عُريراً عَارور وعارُورة والعُرُّ مَعْرور والمَعْرورة والعَرًة العَرارَة والعَرار والعَرارة والتعارْ والعَر والعرة والعَرارَة والعَرارة عَرار عَرارِ عَرار يَعُره وعِرارُ عَر وعِرارُ وعره واعْتَره والمَعْرور وعاررْت والعَرَر والعرِير يعْرار عَرارة وعَررْتُه عُر والمَعًرة والمَعرة,2,no vowel, *عر*	 [العَر] والعُرُّ [والعُرة] الجَرَب [واستعرهم] الجَرَب  فشا فيهم وتَ[عَر]ْ[عَر]َ صار أجرب وجملٌ أغر [وعار] جَرب [[والعرة]] القَفر والعَيْب  والجنون [وعَره] عُريراً أصابه بسوء وهو [عَارور] [وعار]ُورة أي مَنْ دنا منه لَطَخَه بسوء والعُرُّ قرحٌ في مشافر الإبل جمل [مَعْرور] [والمَعْرورة] التي أصابَتْها عينَ في لبنها وأفْسِد ضرعها بالحلب [[والعَر]ًة] الشدة في الحرب والاسم [العَرارَة] [والعَرار] [[والعَرارة]] المُعْجَلان عن الفطام وحمار أعر إذا كان السمَنُ في مُقَدمِه أكثر والتعارْ السهَر [والعَر] [[والعرة]]  الغلام والجارية [والعَرار]َة البَهارة البرية وقيل شَجر [[والعَرارة]] السؤدد وقيل الارتفاع وكُل ما باء بشيءٍ فهو [[عَرار]] فأما المثل باءتْ [[عَرار]]ِ بكَحْل فقيل هما بقرتان وقيل [[عَرار]] ما [يَعُره] بشرّ؛ وكَحْل شدة ومعنى المثل استوى الأمران وعِرارُ الظليم صوتُه وقد [عَر] وعِرارُ بن شأس  معروف [وعره] [واعْتَره] أتاهُ مُجْتَدِياً [والمَعْرور] المَقْرور [والعَر]ْ[عَر] شجر السرْو [والعَر]ْ[عَر]َة استخراج صِمام القارورة والعُراعِر الرجل الشريف وعُرْ[عُر]َةُ كل شيء رأسُه وظَهْر الأرض ورَكَبُ المرأة وما بين المنخَرَيْن أيضاً وعَرْ[عَر] موضع وعرْعارِ لُعْبَة [وعاررْت] تَمَكثْت [والعَر]َر صِغَرُ السنام ورَكبَ عَرعَرَه  صعب أمرُه وقيل ساء خُلقُه [والعرِير] شِبهُ الغَريب وجَمَلٌ [يعْرار] لا يسمن وجَزورٌ عُراعِر ضخم وعُنقٌ عُراعِر طويل وعُراعِر ماء ومِلح عُراعِرِي  يكون أخْضَرَ يُنْبِت  وتزوج في [عَرارة] نساء أي فيمن يلدْنَ الذكور وعَرْ[عَر]ْتُ العظمَ [عَر]َقْته وعَرْعَرت العينَ فَقَأتها والعَراء العذْراء [وعَررْتُه] وَطِئته وقولهم [عُر] فَقْرَه بفيه لعلَّه يُلْهيه  أي ألْزِمْهُ فقرَه وَكِلْهُ إلى نفسه [والمَعًرة] ما وراء المَجرة من ناحية القُطْب الشمالي وأصله موضع الجَرَب؛ سُمي بذلك لكثرة النجوم كما سميَتْ السماءُ جَرْباء [والمَعرة] الإثم
رع,2, رَعَاعةٌ ورعاعُ,2,no vowel, *رع*	 الرعرعَة تَرَعْرُعُ الصبي شابّ رًعْرُع ورَعْراع والرعرعَة اضطراب الماء ورجلٌ رَعَاعةٌ  لا فؤاد له ورعاعُ الناس من هذا
عل,26, العَلُّ والعَلَل عَل يَعُل ويَعِلُّ وعَلَّتْ والعُلالَة والعَلُّ والعَلْعَل وعَل لعل العلات عُلْعُول وعَلْعَلْ واليعلول تعلو يَعْلُول عل والتعَلْعُل والمعللِ يُعلل عليه عالةٍ واعْتله واعْتَلَلْتُ عليه,2,no vowel, *[عل]*	 العَلُّ [والعَلَل] الشرْبة الثانية [عَل] إبِلَه [يَعُل] ويَعِلُّ [وعَل]َّتْ هي [والعُلالَة] بقيَّة اللبن وغيرِه والعَلُّ الذي يزور النساء والقُراد الضخم والمسِن الصغير الجسم من الرجال والضعيف من مرض والعَلْ[عَل]  الذكَر ورأس الرهابة مما يلي الخاصرة والذكَرُ من القَنابر [وعَل] زيداً في معنى [لعل] وبنو [العلات] بنو نساء شَتى لرجل واحد وإنه لفي [عُلْعُول] أي في شر وقتال  [وعَل]ْعَ [وعَل]ْ[عَل]ْ  زَجْرٌ للغنم والإبل [واليعلول] الأفِيل من الابل وغدير مطرِد وسحابة مطردة والنفاخة التي [تعلو] الماء وصِبْغٌ [يَعْلُول] [عل] مرةً بعد مرة [والتعَلْعُل] الاضطراب في المشي والاسترخاء في الكلام والمعللِ يومٌ من أيام العَجوز كأنه [يُعلل] الناسَ بشيء من تخفيف البرد و عَرَض [[عليه]] سَوْمَ عالةٍ  بمعنى قول العامةعَرْضٌ سابِرِي [واعْتله] عن كذا أعاقه  واعْتَلَلْتُ فلاناً تَجَنيْتَ [[عليه]]
لع,20, اللعْلَع واللعْلَعَة وتَلَعْلعَ وتَلَعْلَعَ ولَعْلَع لعةٌ لعاعَة واللُّعاع ولُعاعَة واللُّعاعَة لَعْ لَعْ ولَعْ لَعاً ولَعْلَعْتُ لَعا واللعلعه واللعْلَع وتلعلع واللعلع,2,no vowel, *لع*	 [اللعْلَع] السراب [[واللعْلَع]َة] بَصِيصُه وتَ[لَعْ]لعَ تكَسَّرَ وتَ[لَعْ]لَعَ الكلبُ دَلَعَ لسانَه من العطش [[ولَعْ]لَع] موضع وامرأةٌ لعةٌ  مليحة عفيفة ورجلٌ [لعاعَة] يتكلف الألحانَ من غير صوت  [واللُّعاع] بقْلةٌ غَضَّة وثَمَر الحشيش يؤكَل [ولُعاعَة] الشيء بَقيتُه [واللُّعاع]َة الخِصْب والشيء اليسير من الدنيا ويُقال للعاثر لَعْ لَعْ ولَعْ ولَعَلْ؛ بمعنى [لَعا]ً [[ولَعْ]لَع]ْتُ به  قلت [لَعا] [واللعلعه] التحزن من الجوع والضجر من كل شيء [واللعْلَع] الذئب؛ من هذا [وتلعلع] الإبل في كلأٍ ضعيف تَتبع  [واللعلع] شجرٌ ينبت بالحجاز
عن,52, العُنًة عَيْنَ عُنَةٍ عَيْنَ عُنة واعْتَنَنْتُ لِعُنَةٍ والعُنَة وعَن عُنوناً وعَنّاً وعَنَناً واعْتَن وعُنَنَ العِنينُ عن العِنَينة والعَنَانة مَعْنونٍ عِنَينٌ عن وعَن وعن وعَنَنتُ عَناً وعُنواناً العُنوان ولَعَنك معنى والعَنُون العِنان عِنانَ مُعانة وعِنانُه عِنانُه وعَنَنْتُها عِناناً بِعِنانه عَنَن والعَنَن وعَنَانُها عَن والعَنَانَة العينَ والعَانُّ العَوان والمُعَنَّنَة عَنِيْن عن عن عُن عُن,2,no vowel, *[[[[عن]]]]*	 [العُنًة] حَظيرةٌ من شجر وأعطيتُه عَيْنَ [[عُن]]َةٍ  أي خَصَصْته به ورأيتُهُ عَيْنَ [عُنة] أي الساعةَ من غير أن طلبته وقيل أولُ عائنة [واعْتَن]َنْتُ لِ[[عُن]]َةٍ  أي تَعَرضت لشيء لا أعرفه [والعُنَة] الحَبْل يُلقى عليه القَديد  والعَطْفَة أيضاً [[وعَن]] عُنوناً [[وعَن]]ّاً [[وعَن]]َناً [واعْتَن] أيضاً اعترض وعُنَنَ العِنينُ [[[[عن]]]] امرأته وهو بينُ [العِنَينة] [والعَنَانة] وكل مَعْنونٍ محبوس وهو عِنَينٌ [[[[عن]]]] القتال وغيره أيضاً [[وعَن]] به مد به  [وعن] به كل مَلْوى لَوى به [[وعَن]]َنتُ الكتابَ عَناً وعُنواناً والأصل في [العُنوان] ما ظهر من الشيء [ولَعَنك] في [معنى] لعلك [والعَنُون] من الدواب المتقدمة في السيْر وشِرْكَة [العِنان] في الخاص من الأشياء - فأما قوله  عِنانَ الشمالِ مَنْ يكونَن أضْرَعا  فقيل [مُعانة] شؤم؛ وهو من التعرض وقيل الشمال غِلافُ الضًرْع [وعِنانُه] سَيْرُه الذي يُعلق به وامتلأ [عِنانُه] عَدا جَهدَه وأعْنَنْتُ الدابةَ [[وعَن]]َنْتُها جعلت لها عِناناً وأعَن الفَرسَ حَبَسَه [بِعِنانه] وجمعتُهم في [[عَن]َن]  أي في سَنَن [والعَنَن] واحد الأعْنان  ما يعرض للشيء وأعْنانُ السماء نواحيها [[وعَن]]َانُها  ما [عَن] منها [والعَنَانَة] السحابة [[وعَن]]ْ[عَن]َةُ تميم جَعْلُهم العينَ بدل الهمزة والعَانُّ الجَبَل الطويل في الأرض وفي السماء والجميع [العَوان] والمُ[عَن]َّنَة المرأة اللطيفة البطن ورجلٌ [عَن]ِيْن - مثل حَكيم - لا يقدر على حَبْس ريح بطنه وما أعَنَه والمعَنْعِن القائل [[[[عن]]]] فلان [[[[عن]]]] فلان  ويومُ [[عُن]] قيل [[عُن]] اسم قبيلة وقيل قَلْتٌ تحاربوا عليه
نع,10, النعْنُع والتنَعْنُع ونَعَانِعُ وتَنَعْنَعَت والنعَاعَة والنعْنَعَة نَعْ نَعْ والنعْنُعَة والنعْنَاع,2,no vowel, *نع*	 [النعْنُع] الذكَرُ مُسْتَرْخِياً والرجل الطويل المُضْطَرِب والضعيف والبَظْر جميعاً [والتنَعْنُع] الاضطراب ونَعَانِعُ المِنطقة ذَباذِبُها [وتَ[نَعْ]نَعَت] الدارُ شطتْ [والنعَاعَة] بَقْلةً ناعمة [والنعْنَعَة] حكاية نَعْ نَعْ [والنعْنُعَة] المرأة الطويلة العنق [والنعْنَاع] بَقْلة طيبة
